group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Deserialize,BincodeDE,20,,,299392900.0,ns,1
Deserialize,BincodeDE,20,,,296061300.0,ns,1
Deserialize,BincodeDE,20,,,293270200.0,ns,1
Deserialize,BincodeDE,20,,,293944000.0,ns,1
Deserialize,BincodeDE,20,,,292340600.0,ns,1
Deserialize,BincodeDE,20,,,298628300.0,ns,1
Deserialize,BincodeDE,20,,,297603900.0,ns,1
Deserialize,BincodeDE,20,,,326853900.0,ns,1
Deserialize,BincodeDE,20,,,292458300.0,ns,1
Deserialize,BincodeDE,20,,,298616700.0,ns,1
Deserialize,BincodeDE,20,,,292501800.0,ns,1
Deserialize,BincodeDE,20,,,294788400.0,ns,1
Deserialize,BincodeDE,20,,,295341800.0,ns,1
Deserialize,BincodeDE,20,,,295796000.0,ns,1
Deserialize,BincodeDE,20,,,298051700.0,ns,1
Deserialize,BincodeDE,20,,,293911100.0,ns,1
Deserialize,BincodeDE,20,,,294793900.0,ns,1
Deserialize,BincodeDE,20,,,305713500.0,ns,1
Deserialize,BincodeDE,20,,,295984100.0,ns,1
Deserialize,BincodeDE,20,,,293144100.0,ns,1
Deserialize,BincodeDE,20,,,296366200.0,ns,1
Deserialize,BincodeDE,20,,,294860000.0,ns,1
Deserialize,BincodeDE,20,,,295972800.0,ns,1
Deserialize,BincodeDE,20,,,295116200.0,ns,1
Deserialize,BincodeDE,20,,,295644100.0,ns,1
Deserialize,BincodeDE,20,,,291879800.0,ns,1
Deserialize,BincodeDE,20,,,292951400.0,ns,1
Deserialize,BincodeDE,20,,,297357900.0,ns,1
Deserialize,BincodeDE,20,,,300036600.0,ns,1
Deserialize,BincodeDE,20,,,294266600.0,ns,1
Deserialize,BincodeDE,20,,,296234200.0,ns,1
Deserialize,BincodeDE,20,,,300311600.0,ns,1
Deserialize,BincodeDE,20,,,292243700.0,ns,1
Deserialize,BincodeDE,20,,,294223700.0,ns,1
Deserialize,BincodeDE,20,,,293646100.0,ns,1
Deserialize,BincodeDE,20,,,292872800.0,ns,1
Deserialize,BincodeDE,20,,,293592300.0,ns,1
Deserialize,BincodeDE,20,,,291656700.0,ns,1
Deserialize,BincodeDE,20,,,295741600.0,ns,1
Deserialize,BincodeDE,20,,,308911000.0,ns,1
Deserialize,BincodeDE,20,,,297237300.0,ns,1
Deserialize,BincodeDE,20,,,316835000.0,ns,1
Deserialize,BincodeDE,20,,,296891800.0,ns,1
Deserialize,BincodeDE,20,,,298647100.0,ns,1
Deserialize,BincodeDE,20,,,294175100.0,ns,1
Deserialize,BincodeDE,20,,,293286800.0,ns,1
Deserialize,BincodeDE,20,,,301726400.0,ns,1
