group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Deserialize,JsonDe,20,,,433579800.0,ns,1
Deserialize,JsonDe,20,,,425116600.0,ns,1
Deserialize,JsonDe,20,,,430432600.0,ns,1
Deserialize,JsonDe,20,,,416873800.0,ns,1
Deserialize,JsonDe,20,,,412678300.0,ns,1
Deserialize,JsonDe,20,,,414697000.0,ns,1
Deserialize,JsonDe,20,,,411405500.0,ns,1
Deserialize,JsonDe,20,,,412713200.0,ns,1
Deserialize,JsonDe,20,,,404722200.0,ns,1
Deserialize,JsonDe,20,,,408613400.0,ns,1
Deserialize,JsonDe,20,,,414531900.0,ns,1
Deserialize,JsonDe,20,,,410391100.0,ns,1
Deserialize,JsonDe,20,,,412722600.0,ns,1
Deserialize,JsonDe,20,,,422051700.0,ns,1
Deserialize,JsonDe,20,,,408471800.0,ns,1
Deserialize,JsonDe,20,,,411610400.0,ns,1
Deserialize,JsonDe,20,,,412836200.0,ns,1
Deserialize,JsonDe,20,,,409448200.0,ns,1
Deserialize,JsonDe,20,,,408542800.0,ns,1
Deserialize,JsonDe,20,,,413157700.0,ns,1
Deserialize,JsonDe,20,,,412883000.0,ns,1
Deserialize,JsonDe,20,,,412096300.0,ns,1
Deserialize,JsonDe,20,,,412092600.0,ns,1
Deserialize,JsonDe,20,,,412491800.0,ns,1
Deserialize,JsonDe,20,,,409959400.0,ns,1
Deserialize,JsonDe,20,,,414233900.0,ns,1
Deserialize,JsonDe,20,,,421021300.0,ns,1
Deserialize,JsonDe,20,,,419185400.0,ns,1
Deserialize,JsonDe,20,,,411989000.0,ns,1
Deserialize,JsonDe,20,,,405561700.0,ns,1
Deserialize,JsonDe,20,,,408107100.0,ns,1
Deserialize,JsonDe,20,,,411879100.0,ns,1
Deserialize,JsonDe,20,,,406156200.0,ns,1
Deserialize,JsonDe,20,,,411567300.0,ns,1
Deserialize,JsonDe,20,,,411618000.0,ns,1
Deserialize,JsonDe,20,,,406951400.0,ns,1
Deserialize,JsonDe,20,,,410572200.0,ns,1
Deserialize,JsonDe,20,,,409942100.0,ns,1
Deserialize,JsonDe,20,,,408207100.0,ns,1
Deserialize,JsonDe,20,,,410905600.0,ns,1
Deserialize,JsonDe,20,,,408607200.0,ns,1
Deserialize,JsonDe,20,,,411016200.0,ns,1
Deserialize,JsonDe,20,,,415882100.0,ns,1
Deserialize,JsonDe,20,,,410700600.0,ns,1
Deserialize,JsonDe,20,,,416746200.0,ns,1
Deserialize,JsonDe,20,,,412221000.0,ns,1
Deserialize,JsonDe,20,,,415832600.0,ns,1
Deserialize,JsonDe,20,,,413127900.0,ns,1
Deserialize,JsonDe,20,,,409642500.0,ns,1
Deserialize,JsonDe,20,,,413795800.0,ns,1
Deserialize,JsonDe,20,,,407252200.0,ns,1
Deserialize,JsonDe,20,,,414146500.0,ns,1
Deserialize,JsonDe,20,,,412676900.0,ns,1
Deserialize,JsonDe,20,,,407782600.0,ns,1
Deserialize,JsonDe,20,,,414746900.0,ns,1
Deserialize,JsonDe,20,,,411461300.0,ns,1
Deserialize,JsonDe,20,,,407123900.0,ns,1
Deserialize,JsonDe,20,,,409604500.0,ns,1
Deserialize,JsonDe,20,,,411334900.0,ns,1
Deserialize,JsonDe,20,,,404784500.0,ns,1
Deserialize,JsonDe,20,,,415539600.0,ns,1
Deserialize,JsonDe,20,,,412451400.0,ns,1
Deserialize,JsonDe,20,,,408368200.0,ns,1
Deserialize,JsonDe,20,,,412690700.0,ns,1
Deserialize,JsonDe,20,,,414088500.0,ns,1
Deserialize,JsonDe,20,,,414298700.0,ns,1
Deserialize,JsonDe,20,,,407103500.0,ns,1
Deserialize,JsonDe,20,,,414015900.0,ns,1
Deserialize,JsonDe,20,,,416975500.0,ns,1
Deserialize,JsonDe,20,,,411645500.0,ns,1
Deserialize,JsonDe,20,,,422592600.0,ns,1
Deserialize,JsonDe,20,,,409056300.0,ns,1
Deserialize,JsonDe,20,,,409919700.0,ns,1
Deserialize,JsonDe,20,,,415212500.0,ns,1
Deserialize,JsonDe,20,,,406354500.0,ns,1
Deserialize,JsonDe,20,,,411161700.0,ns,1
Deserialize,JsonDe,20,,,416440400.0,ns,1
Deserialize,JsonDe,20,,,407431400.0,ns,1
Deserialize,JsonDe,20,,,410655500.0,ns,1
Deserialize,JsonDe,20,,,412642000.0,ns,1
Deserialize,JsonDe,20,,,408827100.0,ns,1
Deserialize,JsonDe,20,,,418865600.0,ns,1
Deserialize,JsonDe,20,,,419023200.0,ns,1
Deserialize,JsonDe,20,,,406338500.0,ns,1
Deserialize,JsonDe,20,,,415135900.0,ns,1
Deserialize,JsonDe,20,,,409345600.0,ns,1
Deserialize,JsonDe,20,,,409433400.0,ns,1
Deserialize,JsonDe,20,,,408829900.0,ns,1
Deserialize,JsonDe,20,,,412437100.0,ns,1
Deserialize,JsonDe,20,,,405180000.0,ns,1
Deserialize,JsonDe,20,,,414047200.0,ns,1
Deserialize,JsonDe,20,,,412446900.0,ns,1
Deserialize,JsonDe,20,,,413945600.0,ns,1
Deserialize,JsonDe,20,,,413401500.0,ns,1
Deserialize,JsonDe,20,,,432304100.0,ns,1
Deserialize,JsonDe,20,,,402832200.0,ns,1
Deserialize,JsonDe,20,,,416567200.0,ns,1
Deserialize,JsonDe,20,,,414348500.0,ns,1
Deserialize,JsonDe,20,,,413352700.0,ns,1
Deserialize,JsonDe,20,,,408807300.0,ns,1
