group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Deserialize,MessagePackDE,20,,,333656900.0,ns,1
Deserialize,MessagePackDE,20,,,330602100.0,ns,1
Deserialize,MessagePackDE,20,,,328434100.0,ns,1
Deserialize,MessagePackDE,20,,,328007100.0,ns,1
Deserialize,MessagePackDE,20,,,329659400.0,ns,1
Deserialize,MessagePackDE,20,,,330164300.0,ns,1
Deserialize,MessagePackDE,20,,,326398700.0,ns,1
Deserialize,MessagePackDE,20,,,331491700.0,ns,1
Deserialize,MessagePackDE,20,,,330977500.0,ns,1
Deserialize,MessagePackDE,20,,,330609200.0,ns,1
Deserialize,MessagePackDE,20,,,330289400.0,ns,1
Deserialize,MessagePackDE,20,,,329602000.0,ns,1
Deserialize,MessagePackDE,20,,,332704000.0,ns,1
Deserialize,MessagePackDE,20,,,335885800.0,ns,1
Deserialize,MessagePackDE,20,,,329146600.0,ns,1
Deserialize,MessagePackDE,20,,,332368400.0,ns,1
Deserialize,MessagePackDE,20,,,331343300.0,ns,1
Deserialize,MessagePackDE,20,,,327521200.0,ns,1
Deserialize,MessagePackDE,20,,,363629600.0,ns,1
Deserialize,MessagePackDE,20,,,498037200.0,ns,1
Deserialize,MessagePackDE,20,,,349436200.0,ns,1
Deserialize,MessagePackDE,20,,,337101600.0,ns,1
Deserialize,MessagePackDE,20,,,329950900.0,ns,1
Deserialize,MessagePackDE,20,,,328720400.0,ns,1
Deserialize,MessagePackDE,20,,,330821300.0,ns,1
Deserialize,MessagePackDE,20,,,329355500.0,ns,1
Deserialize,MessagePackDE,20,,,327996800.0,ns,1
Deserialize,MessagePackDE,20,,,332038100.0,ns,1
Deserialize,MessagePackDE,20,,,332687900.0,ns,1
Deserialize,MessagePackDE,20,,,332348100.0,ns,1
Deserialize,MessagePackDE,20,,,331072000.0,ns,1
Deserialize,MessagePackDE,20,,,339968400.0,ns,1
Deserialize,MessagePackDE,20,,,333525600.0,ns,1
Deserialize,MessagePackDE,20,,,343027500.0,ns,1
