group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Deserialize,MessagePackDE,21,,,274083600.0,ns,1
Deserialize,MessagePackDE,21,,,333512500.0,ns,1
Deserialize,MessagePackDE,21,,,338849200.0,ns,1
Deserialize,MessagePackDE,21,,,335457400.0,ns,1
Deserialize,MessagePackDE,21,,,327433900.0,ns,1
Deserialize,MessagePackDE,21,,,327886100.0,ns,1
Deserialize,MessagePackDE,21,,,343747900.0,ns,1
Deserialize,MessagePackDE,21,,,327692900.0,ns,1
Deserialize,MessagePackDE,21,,,325097700.0,ns,1
Deserialize,MessagePackDE,21,,,332382000.0,ns,1
Deserialize,MessagePackDE,21,,,329797800.0,ns,1
Deserialize,MessagePackDE,21,,,328726000.0,ns,1
Deserialize,MessagePackDE,21,,,361762900.0,ns,1
Deserialize,MessagePackDE,21,,,356415200.0,ns,1
Deserialize,MessagePackDE,21,,,330983600.0,ns,1
Deserialize,MessagePackDE,21,,,326658900.0,ns,1
Deserialize,MessagePackDE,21,,,336745500.0,ns,1
Deserialize,MessagePackDE,21,,,357059800.0,ns,1
Deserialize,MessagePackDE,21,,,330110600.0,ns,1
Deserialize,MessagePackDE,21,,,327744000.0,ns,1
Deserialize,MessagePackDE,21,,,327558100.0,ns,1
Deserialize,MessagePackDE,21,,,330111600.0,ns,1
Deserialize,MessagePackDE,21,,,328489900.0,ns,1
Deserialize,MessagePackDE,21,,,323539200.0,ns,1
Deserialize,MessagePackDE,21,,,330778100.0,ns,1
Deserialize,MessagePackDE,21,,,327429800.0,ns,1
Deserialize,MessagePackDE,21,,,334565600.0,ns,1
Deserialize,MessagePackDE,21,,,324298300.0,ns,1
Deserialize,MessagePackDE,21,,,317619800.0,ns,1
Deserialize,MessagePackDE,21,,,321069500.0,ns,1
Deserialize,MessagePackDE,21,,,319585800.0,ns,1
Deserialize,MessagePackDE,21,,,323322300.0,ns,1
Deserialize,MessagePackDE,21,,,323713200.0,ns,1
Deserialize,MessagePackDE,21,,,322379700.0,ns,1
Deserialize,MessagePackDE,21,,,322250600.0,ns,1
Deserialize,MessagePackDE,21,,,321359600.0,ns,1
Deserialize,MessagePackDE,21,,,333731000.0,ns,1
Deserialize,MessagePackDE,21,,,339101500.0,ns,1
Deserialize,MessagePackDE,21,,,329747500.0,ns,1
Deserialize,MessagePackDE,21,,,335392900.0,ns,1
Deserialize,MessagePackDE,21,,,334926400.0,ns,1
Deserialize,MessagePackDE,21,,,341579400.0,ns,1
Deserialize,MessagePackDE,21,,,332317500.0,ns,1
Deserialize,MessagePackDE,21,,,332457200.0,ns,1
Deserialize,MessagePackDE,21,,,341243200.0,ns,1
Deserialize,MessagePackDE,21,,,336471900.0,ns,1
Deserialize,MessagePackDE,21,,,346317200.0,ns,1
Deserialize,MessagePackDE,21,,,331679400.0,ns,1
Deserialize,MessagePackDE,21,,,350388500.0,ns,1
Deserialize,MessagePackDE,21,,,355346300.0,ns,1
Deserialize,MessagePackDE,21,,,339024300.0,ns,1
Deserialize,MessagePackDE,21,,,332576700.0,ns,1
Deserialize,MessagePackDE,21,,,338859800.0,ns,1
Deserialize,MessagePackDE,21,,,332030900.0,ns,1
Deserialize,MessagePackDE,21,,,328410400.0,ns,1
Deserialize,MessagePackDE,21,,,340710900.0,ns,1
Deserialize,MessagePackDE,21,,,335164500.0,ns,1
Deserialize,MessagePackDE,21,,,327446900.0,ns,1
Deserialize,MessagePackDE,21,,,329876000.0,ns,1
Deserialize,MessagePackDE,21,,,328021300.0,ns,1
Deserialize,MessagePackDE,21,,,326618700.0,ns,1
Deserialize,MessagePackDE,21,,,327246400.0,ns,1
Deserialize,MessagePackDE,21,,,336118600.0,ns,1
Deserialize,MessagePackDE,21,,,327639200.0,ns,1
Deserialize,MessagePackDE,21,,,326942000.0,ns,1
