group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Find Struct,Binary tree Reference,20,,,1683700.0,ns,2
Find Struct,Binary tree Reference,20,,,3632400.0,ns,4
Find Struct,Binary tree Reference,20,,,6801000.0,ns,6
Find Struct,Binary tree Reference,20,,,8249300.0,ns,8
Find Struct,Binary tree Reference,20,,,8633300.0,ns,10
Find Struct,Binary tree Reference,20,,,15383600.0,ns,12
Find Struct,Binary tree Reference,20,,,10882200.0,ns,14
Find Struct,Binary tree Reference,20,,,12311700.0,ns,16
Find Struct,Binary tree Reference,20,,,14576100.0,ns,18
Find Struct,Binary tree Reference,20,,,15045200.0,ns,20
Find Struct,Binary tree Reference,20,,,16061000.0,ns,22
Find Struct,Binary tree Reference,20,,,17901600.0,ns,24
Find Struct,Binary tree Reference,20,,,19275400.0,ns,26
Find Struct,Binary tree Reference,20,,,19962100.0,ns,28
Find Struct,Binary tree Reference,20,,,22117800.0,ns,30
Find Struct,Binary tree Reference,20,,,23119200.0,ns,32
Find Struct,Binary tree Reference,20,,,24933100.0,ns,34
Find Struct,Binary tree Reference,20,,,26552500.0,ns,36
Find Struct,Binary tree Reference,20,,,29853900.0,ns,38
Find Struct,Binary tree Reference,20,,,30100400.0,ns,40
Find Struct,Binary tree Reference,20,,,31091400.0,ns,42
Find Struct,Binary tree Reference,20,,,32849000.0,ns,44
Find Struct,Binary tree Reference,20,,,40236400.0,ns,46
Find Struct,Binary tree Reference,20,,,36313700.0,ns,48
Find Struct,Binary tree Reference,20,,,37775100.0,ns,50
Find Struct,Binary tree Reference,20,,,38693000.0,ns,52
Find Struct,Binary tree Reference,20,,,39109900.0,ns,54
Find Struct,Binary tree Reference,20,,,41332900.0,ns,56
Find Struct,Binary tree Reference,20,,,48527600.0,ns,58
Find Struct,Binary tree Reference,20,,,44276600.0,ns,60
Find Struct,Binary tree Reference,20,,,50196500.0,ns,62
Find Struct,Binary tree Reference,20,,,47497900.0,ns,64
Find Struct,Binary tree Reference,20,,,47276200.0,ns,66
Find Struct,Binary tree Reference,20,,,74259100.0,ns,68
Find Struct,Binary tree Reference,20,,,62335000.0,ns,70
Find Struct,Binary tree Reference,20,,,56479700.0,ns,72
Find Struct,Binary tree Reference,20,,,64074900.0,ns,74
Find Struct,Binary tree Reference,20,,,64280600.0,ns,76
Find Struct,Binary tree Reference,20,,,65960400.0,ns,78
Find Struct,Binary tree Reference,20,,,67338900.0,ns,80
Find Struct,Binary tree Reference,20,,,68733200.0,ns,82
Find Struct,Binary tree Reference,20,,,72934500.0,ns,84
Find Struct,Binary tree Reference,20,,,72783500.0,ns,86
Find Struct,Binary tree Reference,20,,,75387300.0,ns,88
Find Struct,Binary tree Reference,20,,,81170100.0,ns,90
Find Struct,Binary tree Reference,20,,,87148300.0,ns,92
Find Struct,Binary tree Reference,20,,,82243100.0,ns,94
Find Struct,Binary tree Reference,20,,,87733600.0,ns,96
Find Struct,Binary tree Reference,20,,,128096100.0,ns,98
Find Struct,Binary tree Reference,20,,,107099800.0,ns,100
Find Struct,Binary tree Reference,20,,,93039900.0,ns,102
Find Struct,Binary tree Reference,20,,,99614400.0,ns,104
Find Struct,Binary tree Reference,20,,,102574800.0,ns,106
Find Struct,Binary tree Reference,20,,,99394200.0,ns,108
Find Struct,Binary tree Reference,20,,,109775100.0,ns,110
Find Struct,Binary tree Reference,20,,,107166600.0,ns,112
Find Struct,Binary tree Reference,20,,,101892700.0,ns,114
Find Struct,Binary tree Reference,20,,,106781900.0,ns,116
Find Struct,Binary tree Reference,20,,,113342300.0,ns,118
Find Struct,Binary tree Reference,20,,,139853100.0,ns,120
Find Struct,Binary tree Reference,20,,,113497100.0,ns,122
Find Struct,Binary tree Reference,20,,,120109400.0,ns,124
Find Struct,Binary tree Reference,20,,,119833100.0,ns,126
Find Struct,Binary tree Reference,20,,,121799000.0,ns,128
Find Struct,Binary tree Reference,20,,,127936100.0,ns,130
Find Struct,Binary tree Reference,20,,,127463400.0,ns,132
Find Struct,Binary tree Reference,20,,,128417200.0,ns,134
Find Struct,Binary tree Reference,20,,,132293400.0,ns,136
Find Struct,Binary tree Reference,20,,,150851100.0,ns,138
Find Struct,Binary tree Reference,20,,,136026500.0,ns,140
Find Struct,Binary tree Reference,20,,,129007400.0,ns,142
Find Struct,Binary tree Reference,20,,,141400700.0,ns,144
Find Struct,Binary tree Reference,20,,,130744300.0,ns,146
Find Struct,Binary tree Reference,20,,,132240800.0,ns,148
Find Struct,Binary tree Reference,20,,,143374200.0,ns,150
Find Struct,Binary tree Reference,20,,,139066900.0,ns,152
Find Struct,Binary tree Reference,20,,,155155500.0,ns,154
Find Struct,Binary tree Reference,20,,,117133700.0,ns,156
Find Struct,Binary tree Reference,20,,,133347500.0,ns,158
Find Struct,Binary tree Reference,20,,,128791600.0,ns,160
Find Struct,Binary tree Reference,20,,,129105700.0,ns,162
Find Struct,Binary tree Reference,20,,,151074600.0,ns,164
Find Struct,Binary tree Reference,20,,,125209800.0,ns,166
Find Struct,Binary tree Reference,20,,,124012800.0,ns,168
Find Struct,Binary tree Reference,20,,,207688100.0,ns,170
Find Struct,Binary tree Reference,20,,,204083500.0,ns,172
Find Struct,Binary tree Reference,20,,,155267100.0,ns,174
Find Struct,Binary tree Reference,20,,,147651400.0,ns,176
Find Struct,Binary tree Reference,20,,,190354000.0,ns,178
Find Struct,Binary tree Reference,20,,,145967700.0,ns,180
Find Struct,Binary tree Reference,20,,,162615100.0,ns,182
Find Struct,Binary tree Reference,20,,,191894600.0,ns,184
Find Struct,Binary tree Reference,20,,,149863900.0,ns,186
Find Struct,Binary tree Reference,20,,,143329000.0,ns,188
Find Struct,Binary tree Reference,20,,,150114400.0,ns,190
Find Struct,Binary tree Reference,20,,,144501300.0,ns,192
Find Struct,Binary tree Reference,20,,,146405200.0,ns,194
Find Struct,Binary tree Reference,20,,,155926500.0,ns,196
Find Struct,Binary tree Reference,20,,,174176900.0,ns,198
Find Struct,Binary tree Reference,20,,,157228200.0,ns,200
