group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Find Struct,Binary tree Reference,21,,,2005100.0,ns,2
Find Struct,Binary tree Reference,21,,,4499000.0,ns,4
Find Struct,Binary tree Reference,21,,,5655000.0,ns,6
Find Struct,Binary tree Reference,21,,,6197600.0,ns,8
Find Struct,Binary tree Reference,21,,,12567900.0,ns,10
Find Struct,Binary tree Reference,21,,,11620600.0,ns,12
Find Struct,Binary tree Reference,21,,,10340000.0,ns,14
Find Struct,Binary tree Reference,21,,,12723600.0,ns,16
Find Struct,Binary tree Reference,21,,,15704200.0,ns,18
Find Struct,Binary tree Reference,21,,,17914300.0,ns,20
Find Struct,Binary tree Reference,21,,,16225200.0,ns,22
Find Struct,Binary tree Reference,21,,,17028800.0,ns,24
Find Struct,Binary tree Reference,21,,,18555200.0,ns,26
Find Struct,Binary tree Reference,21,,,22500100.0,ns,28
Find Struct,Binary tree Reference,21,,,23882600.0,ns,30
Find Struct,Binary tree Reference,21,,,29657200.0,ns,32
Find Struct,Binary tree Reference,21,,,37649300.0,ns,34
Find Struct,Binary tree Reference,21,,,49894800.0,ns,36
Find Struct,Binary tree Reference,21,,,42353300.0,ns,38
Find Struct,Binary tree Reference,21,,,34441600.0,ns,40
Find Struct,Binary tree Reference,21,,,30350700.0,ns,42
Find Struct,Binary tree Reference,21,,,31646100.0,ns,44
Find Struct,Binary tree Reference,21,,,33953400.0,ns,46
Find Struct,Binary tree Reference,21,,,34210100.0,ns,48
Find Struct,Binary tree Reference,21,,,36548500.0,ns,50
Find Struct,Binary tree Reference,21,,,37895300.0,ns,52
Find Struct,Binary tree Reference,21,,,43500300.0,ns,54
Find Struct,Binary tree Reference,21,,,42002000.0,ns,56
Find Struct,Binary tree Reference,21,,,59438700.0,ns,58
Find Struct,Binary tree Reference,21,,,52923900.0,ns,60
Find Struct,Binary tree Reference,21,,,50291900.0,ns,62
Find Struct,Binary tree Reference,21,,,44995500.0,ns,64
Find Struct,Binary tree Reference,21,,,46866700.0,ns,66
Find Struct,Binary tree Reference,21,,,56479600.0,ns,68
Find Struct,Binary tree Reference,21,,,57965300.0,ns,70
Find Struct,Binary tree Reference,21,,,71947800.0,ns,72
Find Struct,Binary tree Reference,21,,,89774600.0,ns,74
Find Struct,Binary tree Reference,21,,,90014100.0,ns,76
Find Struct,Binary tree Reference,21,,,88656500.0,ns,78
Find Struct,Binary tree Reference,21,,,82350800.0,ns,80
Find Struct,Binary tree Reference,21,,,60453800.0,ns,82
Find Struct,Binary tree Reference,21,,,68755700.0,ns,84
Find Struct,Binary tree Reference,21,,,92090100.0,ns,86
Find Struct,Binary tree Reference,21,,,126533700.0,ns,88
Find Struct,Binary tree Reference,21,,,106987300.0,ns,90
Find Struct,Binary tree Reference,21,,,72008100.0,ns,92
Find Struct,Binary tree Reference,21,,,70010500.0,ns,94
Find Struct,Binary tree Reference,21,,,77303300.0,ns,96
Find Struct,Binary tree Reference,21,,,111336800.0,ns,98
Find Struct,Binary tree Reference,21,,,109264800.0,ns,100
Find Struct,Binary tree Reference,21,,,93870800.0,ns,102
Find Struct,Binary tree Reference,21,,,106759800.0,ns,104
Find Struct,Binary tree Reference,21,,,89035500.0,ns,106
Find Struct,Binary tree Reference,21,,,84676600.0,ns,108
Find Struct,Binary tree Reference,21,,,86910000.0,ns,110
Find Struct,Binary tree Reference,21,,,82547400.0,ns,112
Find Struct,Binary tree Reference,21,,,80878800.0,ns,114
Find Struct,Binary tree Reference,21,,,88882300.0,ns,116
Find Struct,Binary tree Reference,21,,,83834400.0,ns,118
Find Struct,Binary tree Reference,21,,,91750300.0,ns,120
Find Struct,Binary tree Reference,21,,,87482900.0,ns,122
Find Struct,Binary tree Reference,21,,,90679800.0,ns,124
Find Struct,Binary tree Reference,21,,,93629100.0,ns,126
Find Struct,Binary tree Reference,21,,,96541500.0,ns,128
Find Struct,Binary tree Reference,21,,,126990800.0,ns,130
Find Struct,Binary tree Reference,21,,,175763600.0,ns,132
Find Struct,Binary tree Reference,21,,,174552000.0,ns,134
Find Struct,Binary tree Reference,21,,,186272300.0,ns,136
Find Struct,Binary tree Reference,21,,,235212200.0,ns,138
Find Struct,Binary tree Reference,21,,,196407600.0,ns,140
Find Struct,Binary tree Reference,21,,,174049000.0,ns,142
Find Struct,Binary tree Reference,21,,,102939100.0,ns,144
Find Struct,Binary tree Reference,21,,,161973700.0,ns,146
Find Struct,Binary tree Reference,21,,,162787400.0,ns,148
Find Struct,Binary tree Reference,21,,,174339500.0,ns,150
Find Struct,Binary tree Reference,21,,,189878800.0,ns,152
Find Struct,Binary tree Reference,21,,,201535200.0,ns,154
Find Struct,Binary tree Reference,21,,,215848700.0,ns,156
Find Struct,Binary tree Reference,21,,,165735800.0,ns,158
Find Struct,Binary tree Reference,21,,,158574200.0,ns,160
Find Struct,Binary tree Reference,21,,,187046300.0,ns,162
Find Struct,Binary tree Reference,21,,,171565000.0,ns,164
Find Struct,Binary tree Reference,21,,,184513700.0,ns,166
Find Struct,Binary tree Reference,21,,,152643600.0,ns,168
Find Struct,Binary tree Reference,21,,,153078300.0,ns,170
Find Struct,Binary tree Reference,21,,,217575300.0,ns,172
Find Struct,Binary tree Reference,21,,,161994200.0,ns,174
Find Struct,Binary tree Reference,21,,,202733700.0,ns,176
Find Struct,Binary tree Reference,21,,,259525500.0,ns,178
Find Struct,Binary tree Reference,21,,,273020900.0,ns,180
Find Struct,Binary tree Reference,21,,,238923900.0,ns,182
Find Struct,Binary tree Reference,21,,,159628900.0,ns,184
Find Struct,Binary tree Reference,21,,,185967600.0,ns,186
Find Struct,Binary tree Reference,21,,,230149200.0,ns,188
Find Struct,Binary tree Reference,21,,,170152900.0,ns,190
Find Struct,Binary tree Reference,21,,,140391900.0,ns,192
Find Struct,Binary tree Reference,21,,,145822800.0,ns,194
Find Struct,Binary tree Reference,21,,,146108100.0,ns,196
Find Struct,Binary tree Reference,21,,,166989300.0,ns,198
Find Struct,Binary tree Reference,21,,,230873600.0,ns,200
