group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Find Struct,Binary tree,20,,,835000.0,ns,1
Find Struct,Binary tree,20,,,1732300.0,ns,2
Find Struct,Binary tree,20,,,2988600.0,ns,3
Find Struct,Binary tree,20,,,4632500.0,ns,4
Find Struct,Binary tree,20,,,4302300.0,ns,5
Find Struct,Binary tree,20,,,4649000.0,ns,6
Find Struct,Binary tree,20,,,8653100.0,ns,7
Find Struct,Binary tree,20,,,7733000.0,ns,8
Find Struct,Binary tree,20,,,7154500.0,ns,9
Find Struct,Binary tree,20,,,9257200.0,ns,10
Find Struct,Binary tree,20,,,9949400.0,ns,11
Find Struct,Binary tree,20,,,9467000.0,ns,12
Find Struct,Binary tree,20,,,9899800.0,ns,13
Find Struct,Binary tree,20,,,10881700.0,ns,14
Find Struct,Binary tree,20,,,11300400.0,ns,15
Find Struct,Binary tree,20,,,12825900.0,ns,16
Find Struct,Binary tree,20,,,13520400.0,ns,17
Find Struct,Binary tree,20,,,12982700.0,ns,18
Find Struct,Binary tree,20,,,13652800.0,ns,19
Find Struct,Binary tree,20,,,18246200.0,ns,20
Find Struct,Binary tree,20,,,16317100.0,ns,21
Find Struct,Binary tree,20,,,15740200.0,ns,22
Find Struct,Binary tree,20,,,18769200.0,ns,23
Find Struct,Binary tree,20,,,18010900.0,ns,24
Find Struct,Binary tree,20,,,18140600.0,ns,25
Find Struct,Binary tree,20,,,19459700.0,ns,26
Find Struct,Binary tree,20,,,19668300.0,ns,27
Find Struct,Binary tree,20,,,23733800.0,ns,28
Find Struct,Binary tree,20,,,22026300.0,ns,29
Find Struct,Binary tree,20,,,24819200.0,ns,30
Find Struct,Binary tree,20,,,26635400.0,ns,31
Find Struct,Binary tree,20,,,23171500.0,ns,32
Find Struct,Binary tree,20,,,23560000.0,ns,33
Find Struct,Binary tree,20,,,31766800.0,ns,34
Find Struct,Binary tree,20,,,35930900.0,ns,35
Find Struct,Binary tree,20,,,37613700.0,ns,36
Find Struct,Binary tree,20,,,30560800.0,ns,37
Find Struct,Binary tree,20,,,31033300.0,ns,38
Find Struct,Binary tree,20,,,28641000.0,ns,39
Find Struct,Binary tree,20,,,29213200.0,ns,40
Find Struct,Binary tree,20,,,30223100.0,ns,41
Find Struct,Binary tree,20,,,31350000.0,ns,42
Find Struct,Binary tree,20,,,31891000.0,ns,43
Find Struct,Binary tree,20,,,32631000.0,ns,44
Find Struct,Binary tree,20,,,35337800.0,ns,45
Find Struct,Binary tree,20,,,36212300.0,ns,46
Find Struct,Binary tree,20,,,37266600.0,ns,47
Find Struct,Binary tree,20,,,34982400.0,ns,48
Find Struct,Binary tree,20,,,35053800.0,ns,49
Find Struct,Binary tree,20,,,38927100.0,ns,50
Find Struct,Binary tree,20,,,40572700.0,ns,51
Find Struct,Binary tree,20,,,41154500.0,ns,52
Find Struct,Binary tree,20,,,39663200.0,ns,53
Find Struct,Binary tree,20,,,42213300.0,ns,54
Find Struct,Binary tree,20,,,40281600.0,ns,55
Find Struct,Binary tree,20,,,41319100.0,ns,56
Find Struct,Binary tree,20,,,49711100.0,ns,57
Find Struct,Binary tree,20,,,46321100.0,ns,58
Find Struct,Binary tree,20,,,45517900.0,ns,59
Find Struct,Binary tree,20,,,54415700.0,ns,60
Find Struct,Binary tree,20,,,50330400.0,ns,61
Find Struct,Binary tree,20,,,48925700.0,ns,62
Find Struct,Binary tree,20,,,61372500.0,ns,63
Find Struct,Binary tree,20,,,63024000.0,ns,64
Find Struct,Binary tree,20,,,49345000.0,ns,65
Find Struct,Binary tree,20,,,47772200.0,ns,66
Find Struct,Binary tree,20,,,49918600.0,ns,67
Find Struct,Binary tree,20,,,48689800.0,ns,68
Find Struct,Binary tree,20,,,51089900.0,ns,69
Find Struct,Binary tree,20,,,51916700.0,ns,70
Find Struct,Binary tree,20,,,52934800.0,ns,71
Find Struct,Binary tree,20,,,53967800.0,ns,72
Find Struct,Binary tree,20,,,65161100.0,ns,73
Find Struct,Binary tree,20,,,53591900.0,ns,74
Find Struct,Binary tree,20,,,55651200.0,ns,75
Find Struct,Binary tree,20,,,57931900.0,ns,76
Find Struct,Binary tree,20,,,58482000.0,ns,77
Find Struct,Binary tree,20,,,60344900.0,ns,78
Find Struct,Binary tree,20,,,65815100.0,ns,79
Find Struct,Binary tree,20,,,74356000.0,ns,80
Find Struct,Binary tree,20,,,78387800.0,ns,81
Find Struct,Binary tree,20,,,67633900.0,ns,82
Find Struct,Binary tree,20,,,83018000.0,ns,83
Find Struct,Binary tree,20,,,64840800.0,ns,84
Find Struct,Binary tree,20,,,60847300.0,ns,85
Find Struct,Binary tree,20,,,63945800.0,ns,86
Find Struct,Binary tree,20,,,65518500.0,ns,87
Find Struct,Binary tree,20,,,65552400.0,ns,88
Find Struct,Binary tree,20,,,69409200.0,ns,89
Find Struct,Binary tree,20,,,66735100.0,ns,90
Find Struct,Binary tree,20,,,66901000.0,ns,91
Find Struct,Binary tree,20,,,66602300.0,ns,92
Find Struct,Binary tree,20,,,74623800.0,ns,93
Find Struct,Binary tree,20,,,76452600.0,ns,94
Find Struct,Binary tree,20,,,73724300.0,ns,95
Find Struct,Binary tree,20,,,70407700.0,ns,96
Find Struct,Binary tree,20,,,71944100.0,ns,97
Find Struct,Binary tree,20,,,77813200.0,ns,98
Find Struct,Binary tree,20,,,98542500.0,ns,99
Find Struct,Binary tree,20,,,73157400.0,ns,100
