group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Find Struct,Std library Reference,20,,,1904800.0,ns,1
Find Struct,Std library Reference,20,,,3957500.0,ns,2
Find Struct,Std library Reference,20,,,6330900.0,ns,3
Find Struct,Std library Reference,20,,,7828900.0,ns,4
Find Struct,Std library Reference,20,,,9323100.0,ns,5
Find Struct,Std library Reference,20,,,10418100.0,ns,6
Find Struct,Std library Reference,20,,,11732800.0,ns,7
Find Struct,Std library Reference,20,,,16496700.0,ns,8
Find Struct,Std library Reference,20,,,16495400.0,ns,9
Find Struct,Std library Reference,20,,,16594300.0,ns,10
Find Struct,Std library Reference,20,,,17755600.0,ns,11
Find Struct,Std library Reference,20,,,19092100.0,ns,12
Find Struct,Std library Reference,20,,,20608700.0,ns,13
Find Struct,Std library Reference,20,,,24048100.0,ns,14
Find Struct,Std library Reference,20,,,27234100.0,ns,15
Find Struct,Std library Reference,20,,,28810100.0,ns,16
Find Struct,Std library Reference,20,,,28160800.0,ns,17
Find Struct,Std library Reference,20,,,31296100.0,ns,18
Find Struct,Std library Reference,20,,,33133100.0,ns,19
Find Struct,Std library Reference,20,,,33437100.0,ns,20
Find Struct,Std library Reference,20,,,35915800.0,ns,21
Find Struct,Std library Reference,20,,,38061200.0,ns,22
Find Struct,Std library Reference,20,,,38558500.0,ns,23
Find Struct,Std library Reference,20,,,40736800.0,ns,24
Find Struct,Std library Reference,20,,,41632100.0,ns,25
Find Struct,Std library Reference,20,,,43156400.0,ns,26
Find Struct,Std library Reference,20,,,45910500.0,ns,27
Find Struct,Std library Reference,20,,,55913600.0,ns,28
Find Struct,Std library Reference,20,,,65424400.0,ns,29
Find Struct,Std library Reference,20,,,51752400.0,ns,30
Find Struct,Std library Reference,20,,,50683100.0,ns,31
Find Struct,Std library Reference,20,,,52709400.0,ns,32
Find Struct,Std library Reference,20,,,66159200.0,ns,33
Find Struct,Std library Reference,20,,,65017200.0,ns,34
Find Struct,Std library Reference,20,,,60635200.0,ns,35
Find Struct,Std library Reference,20,,,58788300.0,ns,36
Find Struct,Std library Reference,20,,,60232700.0,ns,37
Find Struct,Std library Reference,20,,,63079300.0,ns,38
Find Struct,Std library Reference,20,,,63216200.0,ns,39
Find Struct,Std library Reference,20,,,73204200.0,ns,40
Find Struct,Std library Reference,20,,,67217400.0,ns,41
Find Struct,Std library Reference,20,,,66124300.0,ns,42
Find Struct,Std library Reference,20,,,67959100.0,ns,43
Find Struct,Std library Reference,20,,,72559600.0,ns,44
Find Struct,Std library Reference,20,,,78793200.0,ns,45
Find Struct,Std library Reference,20,,,74678400.0,ns,46
Find Struct,Std library Reference,20,,,75715200.0,ns,47
Find Struct,Std library Reference,20,,,77387200.0,ns,48
Find Struct,Std library Reference,20,,,99994600.0,ns,49
Find Struct,Std library Reference,20,,,83720500.0,ns,50
Find Struct,Std library Reference,20,,,80572000.0,ns,51
Find Struct,Std library Reference,20,,,90906400.0,ns,52
Find Struct,Std library Reference,20,,,87094900.0,ns,53
Find Struct,Std library Reference,20,,,85691100.0,ns,54
Find Struct,Std library Reference,20,,,87037400.0,ns,55
Find Struct,Std library Reference,20,,,96411700.0,ns,56
Find Struct,Std library Reference,20,,,97001600.0,ns,57
Find Struct,Std library Reference,20,,,95365400.0,ns,58
Find Struct,Std library Reference,20,,,96726200.0,ns,59
Find Struct,Std library Reference,20,,,98964500.0,ns,60
Find Struct,Std library Reference,20,,,129078400.0,ns,61
Find Struct,Std library Reference,20,,,105075700.0,ns,62
Find Struct,Std library Reference,20,,,108472000.0,ns,63
Find Struct,Std library Reference,20,,,132592100.0,ns,64
Find Struct,Std library Reference,20,,,130179300.0,ns,65
Find Struct,Std library Reference,20,,,134005500.0,ns,66
Find Struct,Std library Reference,20,,,123022300.0,ns,67
Find Struct,Std library Reference,20,,,144925400.0,ns,68
Find Struct,Std library Reference,20,,,118729000.0,ns,69
Find Struct,Std library Reference,20,,,154902400.0,ns,70
Find Struct,Std library Reference,20,,,178011800.0,ns,71
Find Struct,Std library Reference,20,,,188713700.0,ns,72
Find Struct,Std library Reference,20,,,205050800.0,ns,73
Find Struct,Std library Reference,20,,,165466400.0,ns,74
Find Struct,Std library Reference,20,,,169385100.0,ns,75
Find Struct,Std library Reference,20,,,188867300.0,ns,76
Find Struct,Std library Reference,20,,,159244400.0,ns,77
Find Struct,Std library Reference,20,,,168245100.0,ns,78
Find Struct,Std library Reference,20,,,165863800.0,ns,79
Find Struct,Std library Reference,20,,,157706400.0,ns,80
Find Struct,Std library Reference,20,,,172580500.0,ns,81
Find Struct,Std library Reference,20,,,195528500.0,ns,82
Find Struct,Std library Reference,20,,,219051200.0,ns,83
Find Struct,Std library Reference,20,,,206802600.0,ns,84
Find Struct,Std library Reference,20,,,198042700.0,ns,85
Find Struct,Std library Reference,20,,,196392000.0,ns,86
Find Struct,Std library Reference,20,,,218186500.0,ns,87
Find Struct,Std library Reference,20,,,187053900.0,ns,88
Find Struct,Std library Reference,20,,,171457300.0,ns,89
Find Struct,Std library Reference,20,,,180174100.0,ns,90
Find Struct,Std library Reference,20,,,171702800.0,ns,91
Find Struct,Std library Reference,20,,,175161900.0,ns,92
Find Struct,Std library Reference,20,,,193868900.0,ns,93
Find Struct,Std library Reference,20,,,230894700.0,ns,94
Find Struct,Std library Reference,20,,,207128900.0,ns,95
Find Struct,Std library Reference,20,,,184923500.0,ns,96
Find Struct,Std library Reference,20,,,208232200.0,ns,97
Find Struct,Std library Reference,20,,,179411300.0,ns,98
Find Struct,Std library Reference,20,,,175353700.0,ns,99
Find Struct,Std library Reference,20,,,185589700.0,ns,100
