group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Find Struct,Std library,21,,,2418700.0,ns,1
Find Struct,Std library,21,,,4923500.0,ns,2
Find Struct,Std library,21,,,7429300.0,ns,3
Find Struct,Std library,21,,,8743700.0,ns,4
Find Struct,Std library,21,,,11203700.0,ns,5
Find Struct,Std library,21,,,12515700.0,ns,6
Find Struct,Std library,21,,,14819800.0,ns,7
Find Struct,Std library,21,,,15985400.0,ns,8
Find Struct,Std library,21,,,19085800.0,ns,9
Find Struct,Std library,21,,,20777100.0,ns,10
Find Struct,Std library,21,,,22153500.0,ns,11
Find Struct,Std library,21,,,27337900.0,ns,12
Find Struct,Std library,21,,,26255200.0,ns,13
Find Struct,Std library,21,,,29097900.0,ns,14
Find Struct,Std library,21,,,39524600.0,ns,15
Find Struct,Std library,21,,,45994300.0,ns,16
Find Struct,Std library,21,,,48723000.0,ns,17
Find Struct,Std library,21,,,42175500.0,ns,18
Find Struct,Std library,21,,,43311100.0,ns,19
Find Struct,Std library,21,,,46077100.0,ns,20
Find Struct,Std library,21,,,49685600.0,ns,21
Find Struct,Std library,21,,,52551400.0,ns,22
Find Struct,Std library,21,,,54363700.0,ns,23
Find Struct,Std library,21,,,57383000.0,ns,24
Find Struct,Std library,21,,,59161300.0,ns,25
Find Struct,Std library,21,,,64625900.0,ns,26
Find Struct,Std library,21,,,81302700.0,ns,27
Find Struct,Std library,21,,,74212800.0,ns,28
Find Struct,Std library,21,,,64272800.0,ns,29
Find Struct,Std library,21,,,53765500.0,ns,30
Find Struct,Std library,21,,,64491400.0,ns,31
Find Struct,Std library,21,,,60677500.0,ns,32
Find Struct,Std library,21,,,57502600.0,ns,33
Find Struct,Std library,21,,,59556200.0,ns,34
Find Struct,Std library,21,,,60267400.0,ns,35
Find Struct,Std library,21,,,72432800.0,ns,36
Find Struct,Std library,21,,,71230300.0,ns,37
Find Struct,Std library,21,,,69832900.0,ns,38
Find Struct,Std library,21,,,69966700.0,ns,39
Find Struct,Std library,21,,,82968400.0,ns,40
Find Struct,Std library,21,,,81032400.0,ns,41
Find Struct,Std library,21,,,72044700.0,ns,42
Find Struct,Std library,21,,,88898100.0,ns,43
Find Struct,Std library,21,,,77675000.0,ns,44
Find Struct,Std library,21,,,73957500.0,ns,45
Find Struct,Std library,21,,,78265900.0,ns,46
Find Struct,Std library,21,,,79180900.0,ns,47
Find Struct,Std library,21,,,82888600.0,ns,48
Find Struct,Std library,21,,,87848600.0,ns,49
Find Struct,Std library,21,,,86035400.0,ns,50
Find Struct,Std library,21,,,97135800.0,ns,51
Find Struct,Std library,21,,,111165700.0,ns,52
Find Struct,Std library,21,,,92694000.0,ns,53
Find Struct,Std library,21,,,94924500.0,ns,54
Find Struct,Std library,21,,,98012100.0,ns,55
Find Struct,Std library,21,,,109865900.0,ns,56
Find Struct,Std library,21,,,101916000.0,ns,57
Find Struct,Std library,21,,,94464600.0,ns,58
Find Struct,Std library,21,,,102723700.0,ns,59
Find Struct,Std library,21,,,106709900.0,ns,60
Find Struct,Std library,21,,,106558200.0,ns,61
Find Struct,Std library,21,,,109405700.0,ns,62
Find Struct,Std library,21,,,117047700.0,ns,63
Find Struct,Std library,21,,,120763200.0,ns,64
Find Struct,Std library,21,,,124255100.0,ns,65
Find Struct,Std library,21,,,144805300.0,ns,66
Find Struct,Std library,21,,,130221200.0,ns,67
Find Struct,Std library,21,,,120598500.0,ns,68
Find Struct,Std library,21,,,123048400.0,ns,69
Find Struct,Std library,21,,,124350300.0,ns,70
Find Struct,Std library,21,,,125139900.0,ns,71
Find Struct,Std library,21,,,118454000.0,ns,72
Find Struct,Std library,21,,,117130200.0,ns,73
Find Struct,Std library,21,,,150005800.0,ns,74
Find Struct,Std library,21,,,135775900.0,ns,75
Find Struct,Std library,21,,,133298800.0,ns,76
Find Struct,Std library,21,,,134725100.0,ns,77
Find Struct,Std library,21,,,143487800.0,ns,78
Find Struct,Std library,21,,,135939300.0,ns,79
Find Struct,Std library,21,,,138832900.0,ns,80
Find Struct,Std library,21,,,143381500.0,ns,81
Find Struct,Std library,21,,,164635200.0,ns,82
Find Struct,Std library,21,,,146215200.0,ns,83
Find Struct,Std library,21,,,143781400.0,ns,84
Find Struct,Std library,21,,,144072900.0,ns,85
Find Struct,Std library,21,,,142895400.0,ns,86
Find Struct,Std library,21,,,142601300.0,ns,87
Find Struct,Std library,21,,,160751400.0,ns,88
Find Struct,Std library,21,,,150672900.0,ns,89
Find Struct,Std library,21,,,161995100.0,ns,90
Find Struct,Std library,21,,,148958700.0,ns,91
Find Struct,Std library,21,,,149348900.0,ns,92
Find Struct,Std library,21,,,168718600.0,ns,93
Find Struct,Std library,21,,,190533000.0,ns,94
Find Struct,Std library,21,,,221685900.0,ns,95
Find Struct,Std library,21,,,226891000.0,ns,96
Find Struct,Std library,21,,,222519900.0,ns,97
Find Struct,Std library,21,,,223212200.0,ns,98
Find Struct,Std library,21,,,223158800.0,ns,99
Find Struct,Std library,21,,,222844100.0,ns,100
