group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,BincoSE,20,,,61033600.0,ns,2
Serialize,BincoSE,20,,,61275100.0,ns,2
Serialize,BincoSE,20,,,58960800.0,ns,2
Serialize,BincoSE,20,,,58885000.0,ns,2
Serialize,BincoSE,20,,,61358100.0,ns,2
Serialize,BincoSE,20,,,58339500.0,ns,2
Serialize,BincoSE,20,,,58733300.0,ns,2
Serialize,BincoSE,20,,,58685900.0,ns,2
Serialize,BincoSE,20,,,58138400.0,ns,2
Serialize,BincoSE,20,,,57982300.0,ns,2
Serialize,BincoSE,20,,,59282800.0,ns,2
Serialize,BincoSE,20,,,60221200.0,ns,2
Serialize,BincoSE,20,,,67127200.0,ns,2
Serialize,BincoSE,20,,,61072500.0,ns,2
Serialize,BincoSE,20,,,62265000.0,ns,2
Serialize,BincoSE,20,,,63694300.0,ns,2
Serialize,BincoSE,20,,,61331100.0,ns,2
Serialize,BincoSE,20,,,59283800.0,ns,2
Serialize,BincoSE,20,,,59520500.0,ns,2
Serialize,BincoSE,20,,,61450900.0,ns,2
Serialize,BincoSE,20,,,60874100.0,ns,2
Serialize,BincoSE,20,,,59340000.0,ns,2
Serialize,BincoSE,20,,,58504200.0,ns,2
Serialize,BincoSE,20,,,58708800.0,ns,2
Serialize,BincoSE,20,,,59750100.0,ns,2
Serialize,BincoSE,20,,,59181000.0,ns,2
Serialize,BincoSE,20,,,58488700.0,ns,2
Serialize,BincoSE,20,,,61094900.0,ns,2
Serialize,BincoSE,20,,,58671500.0,ns,2
Serialize,BincoSE,20,,,66941900.0,ns,2
Serialize,BincoSE,20,,,61317700.0,ns,2
Serialize,BincoSE,20,,,61600800.0,ns,2
Serialize,BincoSE,20,,,59151600.0,ns,2
Serialize,BincoSE,20,,,59796700.0,ns,2
Serialize,BincoSE,20,,,58961900.0,ns,2
Serialize,BincoSE,20,,,58389500.0,ns,2
Serialize,BincoSE,20,,,59862700.0,ns,2
Serialize,BincoSE,20,,,61167900.0,ns,2
Serialize,BincoSE,20,,,59607200.0,ns,2
Serialize,BincoSE,20,,,59236300.0,ns,2
Serialize,BincoSE,20,,,58745000.0,ns,2
Serialize,BincoSE,20,,,58562400.0,ns,2
Serialize,BincoSE,20,,,59410600.0,ns,2
Serialize,BincoSE,20,,,59374300.0,ns,2
Serialize,BincoSE,20,,,58882200.0,ns,2
Serialize,BincoSE,20,,,58422900.0,ns,2
Serialize,BincoSE,20,,,58099200.0,ns,2
Serialize,BincoSE,20,,,64764200.0,ns,2
Serialize,BincoSE,20,,,62921800.0,ns,2
Serialize,BincoSE,20,,,59056000.0,ns,2
Serialize,BincoSE,20,,,58499600.0,ns,2
Serialize,BincoSE,20,,,59034400.0,ns,2
Serialize,BincoSE,20,,,58497100.0,ns,2
Serialize,BincoSE,20,,,59329300.0,ns,2
Serialize,BincoSE,20,,,60570400.0,ns,2
Serialize,BincoSE,20,,,59352900.0,ns,2
Serialize,BincoSE,20,,,58417100.0,ns,2
Serialize,BincoSE,20,,,58131200.0,ns,2
Serialize,BincoSE,20,,,57827800.0,ns,2
Serialize,BincoSE,20,,,58769900.0,ns,2
Serialize,BincoSE,20,,,61942100.0,ns,2
Serialize,BincoSE,20,,,58827400.0,ns,2
Serialize,BincoSE,20,,,58865900.0,ns,2
Serialize,BincoSE,20,,,58745100.0,ns,2
Serialize,BincoSE,20,,,59992300.0,ns,2
Serialize,BincoSE,20,,,79478900.0,ns,2
Serialize,BincoSE,20,,,62697600.0,ns,2
Serialize,BincoSE,20,,,61743600.0,ns,2
Serialize,BincoSE,20,,,59657400.0,ns,2
Serialize,BincoSE,20,,,58958300.0,ns,2
Serialize,BincoSE,20,,,60303500.0,ns,2
Serialize,BincoSE,20,,,59743700.0,ns,2
Serialize,BincoSE,20,,,60689300.0,ns,2
Serialize,BincoSE,20,,,59604400.0,ns,2
Serialize,BincoSE,20,,,59724300.0,ns,2
Serialize,BincoSE,20,,,59102400.0,ns,2
Serialize,BincoSE,20,,,59359700.0,ns,2
Serialize,BincoSE,20,,,61605000.0,ns,2
Serialize,BincoSE,20,,,58917700.0,ns,2
Serialize,BincoSE,20,,,58071500.0,ns,2
Serialize,BincoSE,20,,,57712500.0,ns,2
Serialize,BincoSE,20,,,58675500.0,ns,2
Serialize,BincoSE,20,,,61191900.0,ns,2
Serialize,BincoSE,20,,,67879800.0,ns,2
Serialize,BincoSE,20,,,60886500.0,ns,2
Serialize,BincoSE,20,,,60151900.0,ns,2
Serialize,BincoSE,20,,,59140500.0,ns,2
Serialize,BincoSE,20,,,59845400.0,ns,2
Serialize,BincoSE,20,,,58209300.0,ns,2
Serialize,BincoSE,20,,,59728500.0,ns,2
Serialize,BincoSE,20,,,60112600.0,ns,2
Serialize,BincoSE,20,,,65805600.0,ns,2
Serialize,BincoSE,20,,,60906600.0,ns,2
Serialize,BincoSE,20,,,59355400.0,ns,2
Serialize,BincoSE,20,,,62935100.0,ns,2
Serialize,BincoSE,20,,,59551400.0,ns,2
Serialize,BincoSE,20,,,58954100.0,ns,2
Serialize,BincoSE,20,,,58953500.0,ns,2
Serialize,BincoSE,20,,,59111800.0,ns,2
Serialize,BincoSE,20,,,64345500.0,ns,2
