group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,Bincode,20,,,869400.0,ns,38905
Serialize,Bincode,20,,,1847100.0,ns,77810
Serialize,Bincode,20,,,2907800.0,ns,116715
Serialize,Bincode,20,,,4985800.0,ns,155620
Serialize,Bincode,20,,,5605100.0,ns,194525
Serialize,Bincode,20,,,7357000.0,ns,233430
Serialize,Bincode,20,,,8198300.0,ns,272335
Serialize,Bincode,20,,,8909800.0,ns,311240
Serialize,Bincode,20,,,8542400.0,ns,350145
Serialize,Bincode,20,,,10000000.0,ns,389050
Serialize,Bincode,20,,,11818300.0,ns,427955
Serialize,Bincode,20,,,10446200.0,ns,466860
Serialize,Bincode,20,,,12331500.0,ns,505765
Serialize,Bincode,20,,,11730300.0,ns,544670
Serialize,Bincode,20,,,14913600.0,ns,583575
Serialize,Bincode,20,,,13847900.0,ns,622480
Serialize,Bincode,20,,,14375700.0,ns,661385
Serialize,Bincode,20,,,17052200.0,ns,700290
Serialize,Bincode,20,,,17116200.0,ns,739195
Serialize,Bincode,20,,,17553700.0,ns,778100
Serialize,Bincode,20,,,20571000.0,ns,817005
Serialize,Bincode,20,,,20206400.0,ns,855910
Serialize,Bincode,20,,,23253000.0,ns,894815
Serialize,Bincode,20,,,25842100.0,ns,933720
Serialize,Bincode,20,,,27273600.0,ns,972625
Serialize,Bincode,20,,,27355300.0,ns,1011530
Serialize,Bincode,20,,,28717500.0,ns,1050435
Serialize,Bincode,20,,,30783600.0,ns,1089340
Serialize,Bincode,20,,,31097700.0,ns,1128245
Serialize,Bincode,20,,,33576200.0,ns,1167150
Serialize,Bincode,20,,,33409100.0,ns,1206055
Serialize,Bincode,20,,,34677600.0,ns,1244960
Serialize,Bincode,20,,,35101200.0,ns,1283865
Serialize,Bincode,20,,,35501200.0,ns,1322770
Serialize,Bincode,20,,,36954500.0,ns,1361675
Serialize,Bincode,20,,,37947700.0,ns,1400580
Serialize,Bincode,20,,,41737600.0,ns,1439485
Serialize,Bincode,20,,,44472200.0,ns,1478390
Serialize,Bincode,20,,,44929900.0,ns,1517295
Serialize,Bincode,20,,,43830700.0,ns,1556200
Serialize,Bincode,20,,,47993300.0,ns,1595105
Serialize,Bincode,20,,,45172800.0,ns,1634010
Serialize,Bincode,20,,,45114100.0,ns,1672915
Serialize,Bincode,20,,,46990800.0,ns,1711820
Serialize,Bincode,20,,,47747200.0,ns,1750725
Serialize,Bincode,20,,,48969900.0,ns,1789630
Serialize,Bincode,20,,,48935000.0,ns,1828535
Serialize,Bincode,20,,,52301800.0,ns,1867440
Serialize,Bincode,20,,,54108400.0,ns,1906345
Serialize,Bincode,20,,,53879900.0,ns,1945250
Serialize,Bincode,20,,,56311100.0,ns,1984155
Serialize,Bincode,20,,,58029500.0,ns,2023060
Serialize,Bincode,20,,,56563800.0,ns,2061965
Serialize,Bincode,20,,,43775900.0,ns,2100870
Serialize,Bincode,20,,,42753000.0,ns,2139775
Serialize,Bincode,20,,,42391300.0,ns,2178680
Serialize,Bincode,20,,,43080500.0,ns,2217585
Serialize,Bincode,20,,,43837100.0,ns,2256490
Serialize,Bincode,20,,,43840700.0,ns,2295395
Serialize,Bincode,20,,,46153800.0,ns,2334300
Serialize,Bincode,20,,,46342500.0,ns,2373205
Serialize,Bincode,20,,,47187400.0,ns,2412110
Serialize,Bincode,20,,,48410100.0,ns,2451015
Serialize,Bincode,20,,,50355500.0,ns,2489920
Serialize,Bincode,20,,,49409500.0,ns,2528825
Serialize,Bincode,20,,,50167500.0,ns,2567730
Serialize,Bincode,20,,,50940300.0,ns,2606635
Serialize,Bincode,20,,,51703000.0,ns,2645540
Serialize,Bincode,20,,,52885600.0,ns,2684445
Serialize,Bincode,20,,,53743500.0,ns,2723350
Serialize,Bincode,20,,,54300200.0,ns,2762255
Serialize,Bincode,20,,,54852800.0,ns,2801160
Serialize,Bincode,20,,,59183300.0,ns,2840065
Serialize,Bincode,20,,,56155500.0,ns,2878970
Serialize,Bincode,20,,,57065000.0,ns,2917875
Serialize,Bincode,20,,,58257500.0,ns,2956780
Serialize,Bincode,20,,,58292000.0,ns,2995685
Serialize,Bincode,20,,,58992800.0,ns,3034590
Serialize,Bincode,20,,,59914100.0,ns,3073495
Serialize,Bincode,20,,,60836700.0,ns,3112400
Serialize,Bincode,20,,,61725900.0,ns,3151305
Serialize,Bincode,20,,,62386400.0,ns,3190210
Serialize,Bincode,20,,,63235200.0,ns,3229115
Serialize,Bincode,20,,,63633100.0,ns,3268020
Serialize,Bincode,20,,,64600400.0,ns,3306925
Serialize,Bincode,20,,,65303100.0,ns,3345830
Serialize,Bincode,20,,,66045600.0,ns,3384735
Serialize,Bincode,20,,,67194400.0,ns,3423640
Serialize,Bincode,20,,,67844100.0,ns,3462545
Serialize,Bincode,20,,,68684800.0,ns,3501450
Serialize,Bincode,20,,,71065700.0,ns,3540355
Serialize,Bincode,20,,,70435600.0,ns,3579260
Serialize,Bincode,20,,,70620100.0,ns,3618165
Serialize,Bincode,20,,,71604500.0,ns,3657070
Serialize,Bincode,20,,,72940400.0,ns,3695975
Serialize,Bincode,20,,,72747300.0,ns,3734880
Serialize,Bincode,20,,,73907000.0,ns,3773785
Serialize,Bincode,20,,,74532200.0,ns,3812690
Serialize,Bincode,20,,,80355400.0,ns,3851595
Serialize,Bincode,20,,,76276500.0,ns,3890500
