group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,Bincode,21,,,846800.0,ns,43316
Serialize,Bincode,21,,,1694900.0,ns,86632
Serialize,Bincode,21,,,2514800.0,ns,129948
Serialize,Bincode,21,,,3379300.0,ns,173264
Serialize,Bincode,21,,,4218000.0,ns,216580
Serialize,Bincode,21,,,5088900.0,ns,259896
Serialize,Bincode,21,,,5926400.0,ns,303212
Serialize,Bincode,21,,,6737000.0,ns,346528
Serialize,Bincode,21,,,7598200.0,ns,389844
Serialize,Bincode,21,,,8421100.0,ns,433160
Serialize,Bincode,21,,,9242100.0,ns,476476
Serialize,Bincode,21,,,10092500.0,ns,519792
Serialize,Bincode,21,,,10936900.0,ns,563108
Serialize,Bincode,21,,,11763900.0,ns,606424
Serialize,Bincode,21,,,12679500.0,ns,649740
Serialize,Bincode,21,,,13436000.0,ns,693056
Serialize,Bincode,21,,,14275700.0,ns,736372
Serialize,Bincode,21,,,15113200.0,ns,779688
Serialize,Bincode,21,,,16073000.0,ns,823004
Serialize,Bincode,21,,,16989600.0,ns,866320
Serialize,Bincode,21,,,17476600.0,ns,909636
Serialize,Bincode,21,,,18628900.0,ns,952952
Serialize,Bincode,21,,,19060100.0,ns,996268
Serialize,Bincode,21,,,19927000.0,ns,1039584
Serialize,Bincode,21,,,21828000.0,ns,1082900
Serialize,Bincode,21,,,21933800.0,ns,1126216
Serialize,Bincode,21,,,22891200.0,ns,1169532
Serialize,Bincode,21,,,23708700.0,ns,1212848
Serialize,Bincode,21,,,27781400.0,ns,1256164
Serialize,Bincode,21,,,34372900.0,ns,1299480
Serialize,Bincode,21,,,26329000.0,ns,1342796
Serialize,Bincode,21,,,27096500.0,ns,1386112
Serialize,Bincode,21,,,27865200.0,ns,1429428
Serialize,Bincode,21,,,28687600.0,ns,1472744
Serialize,Bincode,21,,,33386700.0,ns,1516060
Serialize,Bincode,21,,,30785200.0,ns,1559376
Serialize,Bincode,21,,,31610100.0,ns,1602692
Serialize,Bincode,21,,,32067200.0,ns,1646008
Serialize,Bincode,21,,,32936600.0,ns,1689324
Serialize,Bincode,21,,,33750300.0,ns,1732640
Serialize,Bincode,21,,,35221500.0,ns,1775956
Serialize,Bincode,21,,,35504500.0,ns,1819272
Serialize,Bincode,21,,,36525200.0,ns,1862588
Serialize,Bincode,21,,,37260500.0,ns,1905904
Serialize,Bincode,21,,,38016100.0,ns,1949220
Serialize,Bincode,21,,,38929100.0,ns,1992536
Serialize,Bincode,21,,,39828100.0,ns,2035852
Serialize,Bincode,21,,,40395400.0,ns,2079168
Serialize,Bincode,21,,,41607300.0,ns,2122484
Serialize,Bincode,21,,,42124000.0,ns,2165800
Serialize,Bincode,21,,,43171600.0,ns,2209116
Serialize,Bincode,21,,,49810300.0,ns,2252432
Serialize,Bincode,21,,,45854500.0,ns,2295748
Serialize,Bincode,21,,,45565300.0,ns,2339064
Serialize,Bincode,21,,,46325200.0,ns,2382380
Serialize,Bincode,21,,,47289000.0,ns,2425696
Serialize,Bincode,21,,,47893300.0,ns,2469012
Serialize,Bincode,21,,,48926000.0,ns,2512328
Serialize,Bincode,21,,,51212100.0,ns,2555644
Serialize,Bincode,21,,,50605200.0,ns,2598960
Serialize,Bincode,21,,,51518900.0,ns,2642276
Serialize,Bincode,21,,,52229400.0,ns,2685592
Serialize,Bincode,21,,,52416000.0,ns,2728908
Serialize,Bincode,21,,,53660300.0,ns,2772224
Serialize,Bincode,21,,,55758000.0,ns,2815540
Serialize,Bincode,21,,,56254900.0,ns,2858856
Serialize,Bincode,21,,,56779300.0,ns,2902172
Serialize,Bincode,21,,,57190700.0,ns,2945488
Serialize,Bincode,21,,,57428000.0,ns,2988804
Serialize,Bincode,21,,,58504000.0,ns,3032120
Serialize,Bincode,21,,,63490600.0,ns,3075436
Serialize,Bincode,21,,,64333500.0,ns,3118752
Serialize,Bincode,21,,,62385400.0,ns,3162068
Serialize,Bincode,21,,,62484200.0,ns,3205384
Serialize,Bincode,21,,,63602800.0,ns,3248700
Serialize,Bincode,21,,,64774500.0,ns,3292016
Serialize,Bincode,21,,,64868700.0,ns,3335332
Serialize,Bincode,21,,,65826700.0,ns,3378648
Serialize,Bincode,21,,,67123000.0,ns,3421964
Serialize,Bincode,21,,,67802800.0,ns,3465280
Serialize,Bincode,21,,,68582100.0,ns,3508596
Serialize,Bincode,21,,,69473900.0,ns,3551912
Serialize,Bincode,21,,,70300400.0,ns,3595228
Serialize,Bincode,21,,,71359700.0,ns,3638544
Serialize,Bincode,21,,,71597600.0,ns,3681860
Serialize,Bincode,21,,,73180200.0,ns,3725176
Serialize,Bincode,21,,,75207000.0,ns,3768492
Serialize,Bincode,21,,,74434600.0,ns,3811808
Serialize,Bincode,21,,,75204100.0,ns,3855124
Serialize,Bincode,21,,,76091600.0,ns,3898440
Serialize,Bincode,21,,,78230400.0,ns,3941756
Serialize,Bincode,21,,,77943500.0,ns,3985072
Serialize,Bincode,21,,,78510500.0,ns,4028388
Serialize,Bincode,21,,,78828400.0,ns,4071704
Serialize,Bincode,21,,,80967400.0,ns,4115020
Serialize,Bincode,21,,,82276900.0,ns,4158336
Serialize,Bincode,21,,,82054400.0,ns,4201652
Serialize,Bincode,21,,,82916700.0,ns,4244968
Serialize,Bincode,21,,,83468000.0,ns,4288284
Serialize,Bincode,21,,,84644300.0,ns,4331600
