group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,Json SE,20,,,215447400.0,ns,1
Serialize,Json SE,20,,,208560000.0,ns,1
Serialize,Json SE,20,,,213831400.0,ns,1
Serialize,Json SE,20,,,214971700.0,ns,1
Serialize,Json SE,20,,,210347800.0,ns,1
Serialize,Json SE,20,,,211762800.0,ns,1
Serialize,Json SE,20,,,220045300.0,ns,1
Serialize,Json SE,20,,,213364500.0,ns,1
Serialize,Json SE,20,,,218381200.0,ns,1
Serialize,Json SE,20,,,209996900.0,ns,1
Serialize,Json SE,20,,,210818300.0,ns,1
Serialize,Json SE,20,,,220078300.0,ns,1
Serialize,Json SE,20,,,283087200.0,ns,1
Serialize,Json SE,20,,,403878900.0,ns,1
Serialize,Json SE,20,,,241394400.0,ns,1
Serialize,Json SE,20,,,286655400.0,ns,1
Serialize,Json SE,20,,,239435400.0,ns,1
Serialize,Json SE,20,,,218034100.0,ns,1
Serialize,Json SE,20,,,220438500.0,ns,1
Serialize,Json SE,20,,,224492600.0,ns,1
Serialize,Json SE,20,,,215354000.0,ns,1
Serialize,Json SE,20,,,240571900.0,ns,1
Serialize,Json SE,20,,,220570100.0,ns,1
Serialize,Json SE,20,,,204189800.0,ns,1
Serialize,Json SE,20,,,207334400.0,ns,1
Serialize,Json SE,20,,,209187600.0,ns,1
Serialize,Json SE,20,,,211523200.0,ns,1
Serialize,Json SE,20,,,207234700.0,ns,1
Serialize,Json SE,20,,,208898900.0,ns,1
Serialize,Json SE,20,,,206575400.0,ns,1
Serialize,Json SE,20,,,206565800.0,ns,1
Serialize,Json SE,20,,,214602100.0,ns,1
Serialize,Json SE,20,,,226602300.0,ns,1
Serialize,Json SE,20,,,186990400.0,ns,1
Serialize,Json SE,20,,,188661500.0,ns,1
Serialize,Json SE,20,,,183321500.0,ns,1
Serialize,Json SE,20,,,183862200.0,ns,1
Serialize,Json SE,20,,,184867700.0,ns,1
Serialize,Json SE,20,,,184260700.0,ns,1
Serialize,Json SE,20,,,187129000.0,ns,1
Serialize,Json SE,20,,,185523000.0,ns,1
Serialize,Json SE,20,,,184474000.0,ns,1
Serialize,Json SE,20,,,191818400.0,ns,1
Serialize,Json SE,20,,,188749800.0,ns,1
Serialize,Json SE,20,,,187277500.0,ns,1
Serialize,Json SE,20,,,189004400.0,ns,1
Serialize,Json SE,20,,,185708100.0,ns,1
Serialize,Json SE,20,,,190655400.0,ns,1
Serialize,Json SE,20,,,185021500.0,ns,1
Serialize,Json SE,20,,,184692100.0,ns,1
Serialize,Json SE,20,,,181979900.0,ns,1
Serialize,Json SE,20,,,182371100.0,ns,1
Serialize,Json SE,20,,,186478800.0,ns,1
Serialize,Json SE,20,,,191021700.0,ns,1
Serialize,Json SE,20,,,183721400.0,ns,1
Serialize,Json SE,20,,,194805800.0,ns,1
Serialize,Json SE,20,,,201363600.0,ns,1
Serialize,Json SE,20,,,183624200.0,ns,1
Serialize,Json SE,20,,,182737900.0,ns,1
Serialize,Json SE,20,,,186122700.0,ns,1
Serialize,Json SE,20,,,185366500.0,ns,1
Serialize,Json SE,20,,,182094300.0,ns,1
Serialize,Json SE,20,,,181353100.0,ns,1
Serialize,Json SE,20,,,180090000.0,ns,1
Serialize,Json SE,20,,,180939700.0,ns,1
Serialize,Json SE,20,,,182431300.0,ns,1
Serialize,Json SE,20,,,202048200.0,ns,1
Serialize,Json SE,20,,,239048200.0,ns,1
Serialize,Json SE,20,,,210928300.0,ns,1
Serialize,Json SE,20,,,182856100.0,ns,1
Serialize,Json SE,20,,,181314200.0,ns,1
Serialize,Json SE,20,,,182385600.0,ns,1
Serialize,Json SE,20,,,179278400.0,ns,1
Serialize,Json SE,20,,,181824000.0,ns,1
Serialize,Json SE,20,,,179244800.0,ns,1
Serialize,Json SE,20,,,186715300.0,ns,1
Serialize,Json SE,20,,,178304400.0,ns,1
Serialize,Json SE,20,,,186717800.0,ns,1
Serialize,Json SE,20,,,181520700.0,ns,1
Serialize,Json SE,20,,,179231400.0,ns,1
Serialize,Json SE,20,,,179998900.0,ns,1
Serialize,Json SE,20,,,180608700.0,ns,1
Serialize,Json SE,20,,,188219100.0,ns,1
Serialize,Json SE,20,,,185735500.0,ns,1
Serialize,Json SE,20,,,186159900.0,ns,1
Serialize,Json SE,20,,,188041700.0,ns,1
Serialize,Json SE,20,,,182585700.0,ns,1
Serialize,Json SE,20,,,182118200.0,ns,1
Serialize,Json SE,20,,,183920500.0,ns,1
Serialize,Json SE,20,,,181293300.0,ns,1
Serialize,Json SE,20,,,182568600.0,ns,1
Serialize,Json SE,20,,,182155300.0,ns,1
Serialize,Json SE,20,,,183469400.0,ns,1
Serialize,Json SE,20,,,181925800.0,ns,1
Serialize,Json SE,20,,,183148200.0,ns,1
Serialize,Json SE,20,,,180246800.0,ns,1
Serialize,Json SE,20,,,181519100.0,ns,1
Serialize,Json SE,20,,,181967200.0,ns,1
Serialize,Json SE,20,,,181672100.0,ns,1
Serialize,Json SE,20,,,184861800.0,ns,1
