group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,Json,20,,,936600.0,ns,4763
Serialize,Json,20,,,1992300.0,ns,9526
Serialize,Json,20,,,3154400.0,ns,14289
Serialize,Json,20,,,3995000.0,ns,19052
Serialize,Json,20,,,5761300.0,ns,23815
Serialize,Json,20,,,7770000.0,ns,28578
Serialize,Json,20,,,6680700.0,ns,33341
Serialize,Json,20,,,7437500.0,ns,38104
Serialize,Json,20,,,10566100.0,ns,42867
Serialize,Json,20,,,9200000.0,ns,47630
Serialize,Json,20,,,10477300.0,ns,52393
Serialize,Json,20,,,10897800.0,ns,57156
Serialize,Json,20,,,11978400.0,ns,61919
Serialize,Json,20,,,12869400.0,ns,66682
Serialize,Json,20,,,14046900.0,ns,71445
Serialize,Json,20,,,14918500.0,ns,76208
Serialize,Json,20,,,15559200.0,ns,80971
Serialize,Json,20,,,16796200.0,ns,85734
Serialize,Json,20,,,19265400.0,ns,90497
Serialize,Json,20,,,18549800.0,ns,95260
Serialize,Json,20,,,18886500.0,ns,100023
Serialize,Json,20,,,19541700.0,ns,104786
Serialize,Json,20,,,21565700.0,ns,109549
Serialize,Json,20,,,23209500.0,ns,114312
Serialize,Json,20,,,30736800.0,ns,119075
Serialize,Json,20,,,26227500.0,ns,123838
Serialize,Json,20,,,28764400.0,ns,128601
Serialize,Json,20,,,30433500.0,ns,133364
Serialize,Json,20,,,29066200.0,ns,138127
Serialize,Json,20,,,28260100.0,ns,142890
Serialize,Json,20,,,31675500.0,ns,147653
Serialize,Json,20,,,31790200.0,ns,152416
Serialize,Json,20,,,31599500.0,ns,157179
Serialize,Json,20,,,34891600.0,ns,161942
Serialize,Json,20,,,41245100.0,ns,166705
Serialize,Json,20,,,34001900.0,ns,171468
Serialize,Json,20,,,34967400.0,ns,176231
Serialize,Json,20,,,36626600.0,ns,180994
Serialize,Json,20,,,38945900.0,ns,185757
Serialize,Json,20,,,37498800.0,ns,190520
Serialize,Json,20,,,48245600.0,ns,195283
Serialize,Json,20,,,39207500.0,ns,200046
Serialize,Json,20,,,40828400.0,ns,204809
Serialize,Json,20,,,46462500.0,ns,209572
Serialize,Json,20,,,45433000.0,ns,214335
Serialize,Json,20,,,50041900.0,ns,219098
Serialize,Json,20,,,47010900.0,ns,223861
Serialize,Json,20,,,47631000.0,ns,228624
Serialize,Json,20,,,56682500.0,ns,233387
Serialize,Json,20,,,61277700.0,ns,238150
Serialize,Json,20,,,61395500.0,ns,242913
Serialize,Json,20,,,58805500.0,ns,247676
Serialize,Json,20,,,64117800.0,ns,252439
Serialize,Json,20,,,65382700.0,ns,257202
Serialize,Json,20,,,64979400.0,ns,261965
Serialize,Json,20,,,60263100.0,ns,266728
Serialize,Json,20,,,61947200.0,ns,271491
Serialize,Json,20,,,57333600.0,ns,276254
Serialize,Json,20,,,59692600.0,ns,281017
Serialize,Json,20,,,61559300.0,ns,285780
Serialize,Json,20,,,67361700.0,ns,290543
Serialize,Json,20,,,66813500.0,ns,295306
Serialize,Json,20,,,60687400.0,ns,300069
Serialize,Json,20,,,57106900.0,ns,304832
Serialize,Json,20,,,57587900.0,ns,309595
Serialize,Json,20,,,58712600.0,ns,314358
Serialize,Json,20,,,60925900.0,ns,319121
Serialize,Json,20,,,61127100.0,ns,323884
Serialize,Json,20,,,62477400.0,ns,328647
Serialize,Json,20,,,63697300.0,ns,333410
Serialize,Json,20,,,68751000.0,ns,338173
Serialize,Json,20,,,68679100.0,ns,342936
Serialize,Json,20,,,65972200.0,ns,347699
Serialize,Json,20,,,67545400.0,ns,352462
Serialize,Json,20,,,67944600.0,ns,357225
Serialize,Json,20,,,75942700.0,ns,361988
Serialize,Json,20,,,76667300.0,ns,366751
Serialize,Json,20,,,71566200.0,ns,371514
Serialize,Json,20,,,72884100.0,ns,376277
Serialize,Json,20,,,75501800.0,ns,381040
Serialize,Json,20,,,79857100.0,ns,385803
Serialize,Json,20,,,84374600.0,ns,390566
Serialize,Json,20,,,80488300.0,ns,395329
Serialize,Json,20,,,84697500.0,ns,400092
Serialize,Json,20,,,86433200.0,ns,404855
Serialize,Json,20,,,97172700.0,ns,409618
Serialize,Json,20,,,91174300.0,ns,414381
Serialize,Json,20,,,82926500.0,ns,419144
Serialize,Json,20,,,80134500.0,ns,423907
Serialize,Json,20,,,80891500.0,ns,428670
Serialize,Json,20,,,83332500.0,ns,433433
Serialize,Json,20,,,90494000.0,ns,438196
Serialize,Json,20,,,98635200.0,ns,442959
Serialize,Json,20,,,89291400.0,ns,447722
Serialize,Json,20,,,99384500.0,ns,452485
Serialize,Json,20,,,92403000.0,ns,457248
Serialize,Json,20,,,85733700.0,ns,462011
Serialize,Json,20,,,94641900.0,ns,466774
Serialize,Json,20,,,93346100.0,ns,471537
Serialize,Json,20,,,90471700.0,ns,476300
