group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,Json,21,,,1515500.0,ns,5361
Serialize,Json,21,,,2287100.0,ns,10722
Serialize,Json,21,,,3052600.0,ns,16083
Serialize,Json,21,,,5938500.0,ns,21444
Serialize,Json,21,,,7643700.0,ns,26805
Serialize,Json,21,,,9080400.0,ns,32166
Serialize,Json,21,,,7471500.0,ns,37527
Serialize,Json,21,,,7325900.0,ns,42888
Serialize,Json,21,,,8165000.0,ns,48249
Serialize,Json,21,,,9092400.0,ns,53610
Serialize,Json,21,,,10005800.0,ns,58971
Serialize,Json,21,,,10903500.0,ns,64332
Serialize,Json,21,,,11855800.0,ns,69693
Serialize,Json,21,,,12810600.0,ns,75054
Serialize,Json,21,,,13665000.0,ns,80415
Serialize,Json,21,,,15344900.0,ns,85776
Serialize,Json,21,,,28034700.0,ns,91137
Serialize,Json,21,,,23804700.0,ns,96498
Serialize,Json,21,,,17206600.0,ns,101859
Serialize,Json,21,,,17984500.0,ns,107220
Serialize,Json,21,,,18853400.0,ns,112581
Serialize,Json,21,,,19842500.0,ns,117942
Serialize,Json,21,,,21158100.0,ns,123303
Serialize,Json,21,,,21871200.0,ns,128664
Serialize,Json,21,,,23131700.0,ns,134025
Serialize,Json,21,,,23403700.0,ns,139386
Serialize,Json,21,,,24224900.0,ns,144747
Serialize,Json,21,,,25213000.0,ns,150108
Serialize,Json,21,,,26115300.0,ns,155469
Serialize,Json,21,,,27668500.0,ns,160830
Serialize,Json,21,,,28179300.0,ns,166191
Serialize,Json,21,,,28809200.0,ns,171552
Serialize,Json,21,,,29561300.0,ns,176913
Serialize,Json,21,,,30539000.0,ns,182274
Serialize,Json,21,,,31874100.0,ns,187635
Serialize,Json,21,,,33139400.0,ns,192996
Serialize,Json,21,,,34202700.0,ns,198357
Serialize,Json,21,,,34636000.0,ns,203718
Serialize,Json,21,,,35314000.0,ns,209079
Serialize,Json,21,,,37712800.0,ns,214440
Serialize,Json,21,,,38236200.0,ns,219801
Serialize,Json,21,,,45244200.0,ns,225162
Serialize,Json,21,,,46878500.0,ns,230523
Serialize,Json,21,,,40040900.0,ns,235884
Serialize,Json,21,,,40557800.0,ns,241245
Serialize,Json,21,,,41303300.0,ns,246606
Serialize,Json,21,,,42339400.0,ns,251967
Serialize,Json,21,,,43336100.0,ns,257328
Serialize,Json,21,,,44292300.0,ns,262689
Serialize,Json,21,,,44605600.0,ns,268050
Serialize,Json,21,,,45067600.0,ns,273411
Serialize,Json,21,,,48033700.0,ns,278772
Serialize,Json,21,,,47842300.0,ns,284133
Serialize,Json,21,,,48670100.0,ns,289494
Serialize,Json,21,,,49557800.0,ns,294855
Serialize,Json,21,,,50388900.0,ns,300216
Serialize,Json,21,,,51542900.0,ns,305577
Serialize,Json,21,,,52213700.0,ns,310938
Serialize,Json,21,,,53235000.0,ns,316299
Serialize,Json,21,,,54257500.0,ns,321660
Serialize,Json,21,,,56780500.0,ns,327021
Serialize,Json,21,,,55766000.0,ns,332382
Serialize,Json,21,,,59586800.0,ns,337743
Serialize,Json,21,,,57869900.0,ns,343104
Serialize,Json,21,,,58540200.0,ns,348465
Serialize,Json,21,,,59180400.0,ns,353826
Serialize,Json,21,,,60347000.0,ns,359187
Serialize,Json,21,,,61259300.0,ns,364548
Serialize,Json,21,,,61986800.0,ns,369909
Serialize,Json,21,,,63351800.0,ns,375270
Serialize,Json,21,,,64854500.0,ns,380631
Serialize,Json,21,,,65213100.0,ns,385992
Serialize,Json,21,,,67244800.0,ns,391353
Serialize,Json,21,,,68354700.0,ns,396714
Serialize,Json,21,,,66565400.0,ns,402075
Serialize,Json,21,,,67843200.0,ns,407436
Serialize,Json,21,,,69221400.0,ns,412797
Serialize,Json,21,,,70467100.0,ns,418158
Serialize,Json,21,,,72841800.0,ns,423519
Serialize,Json,21,,,71930300.0,ns,428880
Serialize,Json,21,,,72774700.0,ns,434241
Serialize,Json,21,,,75021200.0,ns,439602
Serialize,Json,21,,,74871100.0,ns,444963
Serialize,Json,21,,,76167900.0,ns,450324
Serialize,Json,21,,,76571000.0,ns,455685
Serialize,Json,21,,,77556000.0,ns,461046
Serialize,Json,21,,,83540200.0,ns,466407
Serialize,Json,21,,,83897500.0,ns,471768
Serialize,Json,21,,,80076600.0,ns,477129
Serialize,Json,21,,,81715800.0,ns,482490
Serialize,Json,21,,,82390900.0,ns,487851
Serialize,Json,21,,,83395500.0,ns,493212
Serialize,Json,21,,,83394400.0,ns,498573
Serialize,Json,21,,,84608500.0,ns,503934
Serialize,Json,21,,,85871600.0,ns,509295
Serialize,Json,21,,,86348200.0,ns,514656
Serialize,Json,21,,,87289400.0,ns,520017
Serialize,Json,21,,,88282700.0,ns,525378
Serialize,Json,21,,,93196200.0,ns,530739
Serialize,Json,21,,,93076500.0,ns,536100
