group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,MessagePack SE,20,,,86098900.0,ns,1
Serialize,MessagePack SE,20,,,83007100.0,ns,1
Serialize,MessagePack SE,20,,,82948400.0,ns,1
Serialize,MessagePack SE,20,,,87469700.0,ns,1
Serialize,MessagePack SE,20,,,83906200.0,ns,1
Serialize,MessagePack SE,20,,,83244100.0,ns,1
Serialize,MessagePack SE,20,,,82791200.0,ns,1
Serialize,MessagePack SE,20,,,86288400.0,ns,1
Serialize,MessagePack SE,20,,,84053400.0,ns,1
Serialize,MessagePack SE,20,,,87236400.0,ns,1
Serialize,MessagePack SE,20,,,106365800.0,ns,1
Serialize,MessagePack SE,20,,,85550000.0,ns,1
Serialize,MessagePack SE,20,,,84056700.0,ns,1
Serialize,MessagePack SE,20,,,83383600.0,ns,1
Serialize,MessagePack SE,20,,,83476900.0,ns,1
Serialize,MessagePack SE,20,,,86748800.0,ns,1
Serialize,MessagePack SE,20,,,86819000.0,ns,1
Serialize,MessagePack SE,20,,,83292600.0,ns,1
Serialize,MessagePack SE,20,,,83149600.0,ns,1
Serialize,MessagePack SE,20,,,83717200.0,ns,1
Serialize,MessagePack SE,20,,,82588000.0,ns,1
Serialize,MessagePack SE,20,,,85336800.0,ns,1
Serialize,MessagePack SE,20,,,84491500.0,ns,1
Serialize,MessagePack SE,20,,,83872400.0,ns,1
Serialize,MessagePack SE,20,,,82806000.0,ns,1
Serialize,MessagePack SE,20,,,82515400.0,ns,1
Serialize,MessagePack SE,20,,,82209100.0,ns,1
Serialize,MessagePack SE,20,,,83342200.0,ns,1
Serialize,MessagePack SE,20,,,88369500.0,ns,1
Serialize,MessagePack SE,20,,,83709300.0,ns,1
Serialize,MessagePack SE,20,,,82974200.0,ns,1
Serialize,MessagePack SE,20,,,82958100.0,ns,1
Serialize,MessagePack SE,20,,,83139900.0,ns,1
Serialize,MessagePack SE,20,,,84710400.0,ns,1
Serialize,MessagePack SE,20,,,84227400.0,ns,1
Serialize,MessagePack SE,20,,,84304300.0,ns,1
Serialize,MessagePack SE,20,,,83593400.0,ns,1
Serialize,MessagePack SE,20,,,84932000.0,ns,1
Serialize,MessagePack SE,20,,,84702500.0,ns,1
Serialize,MessagePack SE,20,,,85998600.0,ns,1
Serialize,MessagePack SE,20,,,83080100.0,ns,1
Serialize,MessagePack SE,20,,,87492600.0,ns,1
Serialize,MessagePack SE,20,,,85837500.0,ns,1
Serialize,MessagePack SE,20,,,86443300.0,ns,1
Serialize,MessagePack SE,20,,,85203100.0,ns,1
