group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,MessagePack SE,21,,,109152200.0,ns,1
Serialize,MessagePack SE,21,,,88797500.0,ns,1
Serialize,MessagePack SE,21,,,88704300.0,ns,1
Serialize,MessagePack SE,21,,,87932900.0,ns,1
Serialize,MessagePack SE,21,,,87467400.0,ns,1
Serialize,MessagePack SE,21,,,86806800.0,ns,1
Serialize,MessagePack SE,21,,,86509400.0,ns,1
Serialize,MessagePack SE,21,,,86776400.0,ns,1
Serialize,MessagePack SE,21,,,88692600.0,ns,1
Serialize,MessagePack SE,21,,,86812100.0,ns,1
Serialize,MessagePack SE,21,,,93121800.0,ns,1
Serialize,MessagePack SE,21,,,89135900.0,ns,1
Serialize,MessagePack SE,21,,,87839200.0,ns,1
Serialize,MessagePack SE,21,,,88479900.0,ns,1
Serialize,MessagePack SE,21,,,88447900.0,ns,1
Serialize,MessagePack SE,21,,,86982500.0,ns,1
Serialize,MessagePack SE,21,,,89406800.0,ns,1
Serialize,MessagePack SE,21,,,102063800.0,ns,1
Serialize,MessagePack SE,21,,,90391600.0,ns,1
Serialize,MessagePack SE,21,,,88398100.0,ns,1
Serialize,MessagePack SE,21,,,91906800.0,ns,1
Serialize,MessagePack SE,21,,,90400900.0,ns,1
Serialize,MessagePack SE,21,,,90389000.0,ns,1
Serialize,MessagePack SE,21,,,85779200.0,ns,1
Serialize,MessagePack SE,21,,,87870100.0,ns,1
Serialize,MessagePack SE,21,,,86165000.0,ns,1
Serialize,MessagePack SE,21,,,85970300.0,ns,1
Serialize,MessagePack SE,21,,,86264300.0,ns,1
Serialize,MessagePack SE,21,,,87109000.0,ns,1
Serialize,MessagePack SE,21,,,87156900.0,ns,1
Serialize,MessagePack SE,21,,,88227700.0,ns,1
Serialize,MessagePack SE,21,,,98333800.0,ns,1
Serialize,MessagePack SE,21,,,90612100.0,ns,1
Serialize,MessagePack SE,21,,,102624700.0,ns,1
Serialize,MessagePack SE,21,,,88865200.0,ns,1
Serialize,MessagePack SE,21,,,86410300.0,ns,1
Serialize,MessagePack SE,21,,,90095800.0,ns,1
Serialize,MessagePack SE,21,,,87833900.0,ns,1
Serialize,MessagePack SE,21,,,96991900.0,ns,1
Serialize,MessagePack SE,21,,,93266200.0,ns,1
Serialize,MessagePack SE,21,,,104354800.0,ns,1
Serialize,MessagePack SE,21,,,105740600.0,ns,1
Serialize,MessagePack SE,21,,,94285000.0,ns,1
Serialize,MessagePack SE,21,,,99262600.0,ns,1
Serialize,MessagePack SE,21,,,94882800.0,ns,1
Serialize,MessagePack SE,21,,,89440500.0,ns,1
Serialize,MessagePack SE,21,,,94089000.0,ns,1
Serialize,MessagePack SE,21,,,96779100.0,ns,1
Serialize,MessagePack SE,21,,,93016100.0,ns,1
Serialize,MessagePack SE,21,,,95522500.0,ns,1
Serialize,MessagePack SE,21,,,90839000.0,ns,1
Serialize,MessagePack SE,21,,,93316100.0,ns,1
Serialize,MessagePack SE,21,,,93498600.0,ns,1
Serialize,MessagePack SE,21,,,96709900.0,ns,1
Serialize,MessagePack SE,21,,,96996900.0,ns,1
Serialize,MessagePack SE,21,,,91640600.0,ns,1
Serialize,MessagePack SE,21,,,89345300.0,ns,1
Serialize,MessagePack SE,21,,,88149800.0,ns,1
Serialize,MessagePack SE,21,,,88719300.0,ns,1
Serialize,MessagePack SE,21,,,95051800.0,ns,1
Serialize,MessagePack SE,21,,,103775100.0,ns,1
Serialize,MessagePack SE,21,,,92173400.0,ns,1
Serialize,MessagePack SE,21,,,92472500.0,ns,1
Serialize,MessagePack SE,21,,,94669300.0,ns,1
Serialize,MessagePack SE,21,,,89355800.0,ns,1
Serialize,MessagePack SE,21,,,89056500.0,ns,1
Serialize,MessagePack SE,21,,,90676600.0,ns,1
Serialize,MessagePack SE,21,,,91092300.0,ns,1
Serialize,MessagePack SE,21,,,92237800.0,ns,1
Serialize,MessagePack SE,21,,,90911100.0,ns,1
Serialize,MessagePack SE,21,,,92223600.0,ns,1
Serialize,MessagePack SE,21,,,100317900.0,ns,1
Serialize,MessagePack SE,21,,,89680700.0,ns,1
Serialize,MessagePack SE,21,,,87885300.0,ns,1
Serialize,MessagePack SE,21,,,88157800.0,ns,1
Serialize,MessagePack SE,21,,,88310500.0,ns,1
Serialize,MessagePack SE,21,,,90470200.0,ns,1
Serialize,MessagePack SE,21,,,89878900.0,ns,1
Serialize,MessagePack SE,21,,,87621900.0,ns,1
Serialize,MessagePack SE,21,,,87803000.0,ns,1
Serialize,MessagePack SE,21,,,91271100.0,ns,1
Serialize,MessagePack SE,21,,,88358700.0,ns,1
