group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,MessagePack,20,,,919600.0,ns,10184
Serialize,MessagePack,20,,,1828500.0,ns,20368
Serialize,MessagePack,20,,,2709300.0,ns,30552
Serialize,MessagePack,20,,,3667000.0,ns,40736
Serialize,MessagePack,20,,,4632700.0,ns,50920
Serialize,MessagePack,20,,,5602200.0,ns,61104
Serialize,MessagePack,20,,,6342500.0,ns,71288
Serialize,MessagePack,20,,,7375600.0,ns,81472
Serialize,MessagePack,20,,,8173000.0,ns,91656
Serialize,MessagePack,20,,,9094600.0,ns,101840
Serialize,MessagePack,20,,,9969900.0,ns,112024
Serialize,MessagePack,20,,,10850700.0,ns,122208
Serialize,MessagePack,20,,,11840800.0,ns,132392
Serialize,MessagePack,20,,,12657100.0,ns,142576
Serialize,MessagePack,20,,,13965700.0,ns,152760
Serialize,MessagePack,20,,,15142000.0,ns,162944
Serialize,MessagePack,20,,,17192700.0,ns,173128
Serialize,MessagePack,20,,,19425400.0,ns,183312
Serialize,MessagePack,20,,,24690500.0,ns,193496
Serialize,MessagePack,20,,,19009400.0,ns,203680
Serialize,MessagePack,20,,,19723200.0,ns,213864
Serialize,MessagePack,20,,,20509800.0,ns,224048
Serialize,MessagePack,20,,,35495900.0,ns,234232
Serialize,MessagePack,20,,,23114600.0,ns,244416
Serialize,MessagePack,20,,,30890400.0,ns,254600
Serialize,MessagePack,20,,,25547200.0,ns,264784
Serialize,MessagePack,20,,,25448600.0,ns,274968
Serialize,MessagePack,20,,,26362600.0,ns,285152
Serialize,MessagePack,20,,,33429300.0,ns,295336
Serialize,MessagePack,20,,,28000900.0,ns,305520
Serialize,MessagePack,20,,,28259800.0,ns,315704
Serialize,MessagePack,20,,,29199400.0,ns,325888
Serialize,MessagePack,20,,,30059700.0,ns,336072
Serialize,MessagePack,20,,,30770500.0,ns,346256
Serialize,MessagePack,20,,,31567400.0,ns,356440
Serialize,MessagePack,20,,,32558000.0,ns,366624
Serialize,MessagePack,20,,,33316100.0,ns,376808
Serialize,MessagePack,20,,,35287800.0,ns,386992
Serialize,MessagePack,20,,,36574700.0,ns,397176
Serialize,MessagePack,20,,,43530400.0,ns,407360
Serialize,MessagePack,20,,,37661400.0,ns,417544
Serialize,MessagePack,20,,,38345700.0,ns,427728
Serialize,MessagePack,20,,,38866100.0,ns,437912
Serialize,MessagePack,20,,,39758200.0,ns,448096
Serialize,MessagePack,20,,,40480600.0,ns,458280
Serialize,MessagePack,20,,,41430100.0,ns,468464
Serialize,MessagePack,20,,,42317700.0,ns,478648
Serialize,MessagePack,20,,,43381500.0,ns,488832
Serialize,MessagePack,20,,,44104600.0,ns,499016
Serialize,MessagePack,20,,,45123100.0,ns,509200
Serialize,MessagePack,20,,,45944500.0,ns,519384
Serialize,MessagePack,20,,,46762600.0,ns,529568
Serialize,MessagePack,20,,,47710500.0,ns,539752
Serialize,MessagePack,20,,,48995200.0,ns,549936
Serialize,MessagePack,20,,,49847200.0,ns,560120
Serialize,MessagePack,20,,,50454600.0,ns,570304
Serialize,MessagePack,20,,,51433600.0,ns,580488
Serialize,MessagePack,20,,,52476300.0,ns,590672
Serialize,MessagePack,20,,,52325400.0,ns,600856
Serialize,MessagePack,20,,,53964000.0,ns,611040
Serialize,MessagePack,20,,,54794000.0,ns,621224
Serialize,MessagePack,20,,,55728500.0,ns,631408
Serialize,MessagePack,20,,,56869700.0,ns,641592
Serialize,MessagePack,20,,,57604400.0,ns,651776
Serialize,MessagePack,20,,,58603600.0,ns,661960
Serialize,MessagePack,20,,,59801500.0,ns,672144
Serialize,MessagePack,20,,,60562600.0,ns,682328
Serialize,MessagePack,20,,,61115200.0,ns,692512
Serialize,MessagePack,20,,,62580800.0,ns,702696
Serialize,MessagePack,20,,,63226400.0,ns,712880
Serialize,MessagePack,20,,,64128700.0,ns,723064
Serialize,MessagePack,20,,,65232800.0,ns,733248
Serialize,MessagePack,20,,,66672500.0,ns,743432
Serialize,MessagePack,20,,,67019400.0,ns,753616
Serialize,MessagePack,20,,,68448100.0,ns,763800
Serialize,MessagePack,20,,,68475700.0,ns,773984
Serialize,MessagePack,20,,,69606500.0,ns,784168
Serialize,MessagePack,20,,,70594100.0,ns,794352
Serialize,MessagePack,20,,,71657400.0,ns,804536
Serialize,MessagePack,20,,,72189400.0,ns,814720
Serialize,MessagePack,20,,,73442100.0,ns,824904
Serialize,MessagePack,20,,,75683800.0,ns,835088
Serialize,MessagePack,20,,,74891000.0,ns,845272
Serialize,MessagePack,20,,,76133000.0,ns,855456
Serialize,MessagePack,20,,,76653700.0,ns,865640
Serialize,MessagePack,20,,,77340800.0,ns,875824
Serialize,MessagePack,20,,,82913600.0,ns,886008
Serialize,MessagePack,20,,,79757800.0,ns,896192
Serialize,MessagePack,20,,,80403800.0,ns,906376
Serialize,MessagePack,20,,,81033100.0,ns,916560
Serialize,MessagePack,20,,,82563000.0,ns,926744
Serialize,MessagePack,20,,,83514700.0,ns,936928
Serialize,MessagePack,20,,,84088600.0,ns,947112
Serialize,MessagePack,20,,,84947800.0,ns,957296
Serialize,MessagePack,20,,,86620300.0,ns,967480
Serialize,MessagePack,20,,,87193000.0,ns,977664
Serialize,MessagePack,20,,,96425100.0,ns,987848
Serialize,MessagePack,20,,,95213600.0,ns,998032
Serialize,MessagePack,20,,,89114500.0,ns,1008216
Serialize,MessagePack,20,,,90442600.0,ns,1018400
