group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialize,MessagePack,21,,,911600.0,ns,10350
Serialize,MessagePack,21,,,1840900.0,ns,20700
Serialize,MessagePack,21,,,2772400.0,ns,31050
Serialize,MessagePack,21,,,3715600.0,ns,41400
Serialize,MessagePack,21,,,4585400.0,ns,51750
Serialize,MessagePack,21,,,5545200.0,ns,62100
Serialize,MessagePack,21,,,6456100.0,ns,72450
Serialize,MessagePack,21,,,7288900.0,ns,82800
Serialize,MessagePack,21,,,8270400.0,ns,93150
Serialize,MessagePack,21,,,9071500.0,ns,103500
Serialize,MessagePack,21,,,10157400.0,ns,113850
Serialize,MessagePack,21,,,11028000.0,ns,124200
Serialize,MessagePack,21,,,11793500.0,ns,134550
Serialize,MessagePack,21,,,12796700.0,ns,144900
Serialize,MessagePack,21,,,13763700.0,ns,155250
Serialize,MessagePack,21,,,14603000.0,ns,165600
Serialize,MessagePack,21,,,15525100.0,ns,175950
Serialize,MessagePack,21,,,16498000.0,ns,186300
Serialize,MessagePack,21,,,17333100.0,ns,196650
Serialize,MessagePack,21,,,18410100.0,ns,207000
Serialize,MessagePack,21,,,19412000.0,ns,217350
Serialize,MessagePack,21,,,20233600.0,ns,227700
Serialize,MessagePack,21,,,21003500.0,ns,238050
Serialize,MessagePack,21,,,22103100.0,ns,248400
Serialize,MessagePack,21,,,22783300.0,ns,258750
Serialize,MessagePack,21,,,24580800.0,ns,269100
Serialize,MessagePack,21,,,24695200.0,ns,279450
Serialize,MessagePack,21,,,25475300.0,ns,289800
Serialize,MessagePack,21,,,27069400.0,ns,300150
Serialize,MessagePack,21,,,27512100.0,ns,310500
Serialize,MessagePack,21,,,28393700.0,ns,320850
Serialize,MessagePack,21,,,29404800.0,ns,331200
Serialize,MessagePack,21,,,30184400.0,ns,341550
Serialize,MessagePack,21,,,31073000.0,ns,351900
Serialize,MessagePack,21,,,31876600.0,ns,362250
Serialize,MessagePack,21,,,32764600.0,ns,372600
Serialize,MessagePack,21,,,33816100.0,ns,382950
Serialize,MessagePack,21,,,35987000.0,ns,393300
Serialize,MessagePack,21,,,35739700.0,ns,403650
Serialize,MessagePack,21,,,36935900.0,ns,414000
Serialize,MessagePack,21,,,37711600.0,ns,424350
Serialize,MessagePack,21,,,44016000.0,ns,434700
Serialize,MessagePack,21,,,39684600.0,ns,445050
Serialize,MessagePack,21,,,40088100.0,ns,455400
Serialize,MessagePack,21,,,41066700.0,ns,465750
Serialize,MessagePack,21,,,41035300.0,ns,476100
Serialize,MessagePack,21,,,42660200.0,ns,486450
Serialize,MessagePack,21,,,43739400.0,ns,496800
Serialize,MessagePack,21,,,44027300.0,ns,507150
Serialize,MessagePack,21,,,44820600.0,ns,517500
Serialize,MessagePack,21,,,45853800.0,ns,527850
Serialize,MessagePack,21,,,47542700.0,ns,538200
Serialize,MessagePack,21,,,48906300.0,ns,548550
Serialize,MessagePack,21,,,49224700.0,ns,558900
Serialize,MessagePack,21,,,50214500.0,ns,569250
Serialize,MessagePack,21,,,50698100.0,ns,579600
Serialize,MessagePack,21,,,57877900.0,ns,589950
Serialize,MessagePack,21,,,52128300.0,ns,600300
Serialize,MessagePack,21,,,53040400.0,ns,610650
Serialize,MessagePack,21,,,57550200.0,ns,621000
Serialize,MessagePack,21,,,55345000.0,ns,631350
Serialize,MessagePack,21,,,56521500.0,ns,641700
Serialize,MessagePack,21,,,57312900.0,ns,652050
Serialize,MessagePack,21,,,57620800.0,ns,662400
Serialize,MessagePack,21,,,58222000.0,ns,672750
Serialize,MessagePack,21,,,62687800.0,ns,683100
Serialize,MessagePack,21,,,60657100.0,ns,693450
Serialize,MessagePack,21,,,62093200.0,ns,703800
Serialize,MessagePack,21,,,61649700.0,ns,714150
Serialize,MessagePack,21,,,63077000.0,ns,724500
Serialize,MessagePack,21,,,65699500.0,ns,734850
Serialize,MessagePack,21,,,66534500.0,ns,745200
Serialize,MessagePack,21,,,66898000.0,ns,755550
Serialize,MessagePack,21,,,67416900.0,ns,765900
Serialize,MessagePack,21,,,67545200.0,ns,776250
Serialize,MessagePack,21,,,69849700.0,ns,786600
Serialize,MessagePack,21,,,72118400.0,ns,796950
Serialize,MessagePack,21,,,71971800.0,ns,807300
Serialize,MessagePack,21,,,72001000.0,ns,817650
Serialize,MessagePack,21,,,72977300.0,ns,828000
Serialize,MessagePack,21,,,74144300.0,ns,838350
Serialize,MessagePack,21,,,74880100.0,ns,848700
Serialize,MessagePack,21,,,75848300.0,ns,859050
Serialize,MessagePack,21,,,76876800.0,ns,869400
Serialize,MessagePack,21,,,84841400.0,ns,879750
Serialize,MessagePack,21,,,80912900.0,ns,890100
Serialize,MessagePack,21,,,79125700.0,ns,900450
Serialize,MessagePack,21,,,87827600.0,ns,910800
Serialize,MessagePack,21,,,82726500.0,ns,921150
Serialize,MessagePack,21,,,81942100.0,ns,931500
Serialize,MessagePack,21,,,82971800.0,ns,941850
Serialize,MessagePack,21,,,83813600.0,ns,952200
Serialize,MessagePack,21,,,84172700.0,ns,962550
Serialize,MessagePack,21,,,86005500.0,ns,972900
Serialize,MessagePack,21,,,88149700.0,ns,983250
Serialize,MessagePack,21,,,87506300.0,ns,993600
Serialize,MessagePack,21,,,88802300.0,ns,1003950
Serialize,MessagePack,21,,,89530300.0,ns,1014300
Serialize,MessagePack,21,,,92499700.0,ns,1024650
Serialize,MessagePack,21,,,91143700.0,ns,1035000
